"","number","Assignees","City","Country","date","year"
"46","8,269,026","Vertex Pharmaceuticals Incorporated ","Cambridge"," MA","       July 3",2010
"47","8,269,014","Vertex Pharmaceuticals ","Canada","Canada","       June 29",2011
"48","8,269,014"," Incorporated ","CA","CA","       June 29",2011
"49","8,158,675","Vertex Pharmaceuticals ","Canada","Canada","       July 24",2009
"50","8,158,675"," Incorporated ","CA","CA","       July 24",2009
"51","8,003,685","Vertex Pharmaceuticals ","Canada","Canada","       November 15",2007
"52","8,003,685"," Incorporated ","CA","CA","       November 15",2007
"53","6,291,175","Variagenics, Inc.","Cambridge"," MA","       June 16",1999
"54","6,291,175","Institut Pasteur de Lille ","Lille"," FR","       June 16",1999
"55","6,368,797","Variagenics, Inc.","Cambridge"," MA","       October 1",1999
"56","7,727,531","Valorisation-Recherche, Societe En commandite ","Quebec"," CA","       October 24",2008
"57","7,445,782","Valorisation-Recherche, Societe en Commandite ","Montreal"," Quebec, CA","       March 14",2002
"58","7,470,821","Valorisation-Recherche, Limited Partnership ","Montreal"," Quebec, CA","       June 29",2004
"59","7,470,821","Universite Paul Sabatier Toulouse III ","Toulouse Cedex"," FR","       June 29",2004
"60","7,910,318","Valorisation-Recherche, Limited Partnership ","Montreal"," Quebec, CA","       May 4",2005
"61","7,439,030","Valorisation-Recherche, Limited Partnership ","Montreal"," CA","       April 25",2006
"62","7,439,030","Centre National de la Recherche Scientifique ","Paris Cedex"," FR","       April 25",2006
"63","6,713,278","Valorisation-Recherche, Limited Partnership ","Montreal"," CA","       February 29",2000
"64","6,713,278","Centre National de la Recherche Scientifique ","Paris Cedex"," FR","       February 29",2000
"65","7,427,498","Valorisation-Recherche, Limited Partnership ","Montreal"," CA","       April 25",2006
"66","7,427,498","Centre National de la Recherche Scientifique ","Paris Cedex"," FR","       April 25",2006
"67","8,198,364","Valorisation-Recherche, Limited Partnership ","Montreal"," CA","       June 14",2007
"68","8,067,440","Valorisation-Recherche, Limited Partnership ","Montreal"," CA","       December 21",2010
"69","7,880,037","Valorisation-Recherche, Limited Partnership ","Montreal"," CA","       October 5",2006
"70","8,173,765","Valorisation-Recherche, Limited Partnership ","Montreal"," CA","       July 30",2008
"71","7,244,875","Valorisation-Recherche L.P.","Quebec"," CA","       June 27",2002
"72","7,927,608","Valorisation--Recherche Limited Partnership ","Montreal"," Quebec, unknown","       September 1",2006
"73","8,088,631","Valorbec, Societe en Commandite ","Montreal"," CA","       May 22",2008
"74","7,026,263","Valorbec, Societe en commandite ","Montreal"," CA","       January 28",2003
"75","7,456,128","Valorbec, S.E.C., Represented by The Gestion Valeo, S.E.C.","Montreal"," Quebec, CA","       April 29",2005
"76","7,135,602","Valorbec Societe en Commandite ","Montreal"," CA","       November 3",2000
"77","7,098,162","Valorbec Societe en Commandite ","Montreal"," CA","       July 27",2001
"78","8,227,527","Valorbec S.E.C.","Montreal"," Quebec, CA","       December 22",2004
"79","8,227,527","Conseil National de Recherches Canada ","Ottawa"," Ontario, CA","       December 22",2004
"80","7,989,167","Val-Chum L.P.","Montreal"," CA","       November 13",2007
"81","7,989,167","The Royal Institution for the Advancement of Learning/McGill University ","Montreal"," CA","       November 13",2007
"82","7,989,167","Universite de Montreal ","Montreal"," CA","       November 13",2007
"83","6,902,926","University of Vermont and State Agricultural College ","Burlington"," VT","       November 9",2001
"84","6,902,926","McGill University ","Quebec"," CA","       November 9",2001
"85","8,058,310","University of South Florida ","Tampa"," FL","       February 25",2010
"86","8,058,310","McGill University ","CA","CA","       February 25",2010
"87","8,058,310","The Hong Kong Polytechnic University ","Hong Kong"," HK","       February 25",2010
"88","7,767,711","University of South Florida ","Tampa"," FL","       June 20",2007
"89","7,767,711","McGill University ","CA","CA","       June 20",2007
"90","7,767,711","The Hong Kong Polytechnic University ","Hong Kong"," HK","       June 20",2007
"91","7,358,383","University of South Florida ","Tampa"," FL","       January 26",2004
"92","7,358,383","McGill University ","CA","CA","       January 26",2004
"93","7,358,383","The Hong Kong Polytechnic University ","Hong Kong"," HK","       January 26",2004
"94","7,321,046","University of Pittsburgh ","Pittsburgh"," PA","       May 27",2005
"95","5,420,032","Universitge Laval ","Quebec"," CA","       December 16",1992
"96","8,273,481","Universitede Montreal ","Montreal"," CA","       August 25",2011
"97","8,273,481","Centre National de la Recherche Scientifique ","Paris"," FR","       August 25",2011
"98","8,273,481","Phostech Lithium Inc.","Candiac"," CA","       August 25",2011
"99","6,051,679","Universitede Montreal ","Montreal"," CA","       January 15",1999
"100","8,282,925","Universite Laval ","Quebec"," Quebec, CA","       May 21",2009
"101","7,247,306","Universite Laval ","Quebec"," CA","       April 30",2004
"102","6,699,954","Universite Joseph Fourier ","Grenoble"," FR","       March 14",2002
"103","5,656,474","Universite du Quebec a Montreal ","UQAM"," CA","       December 7",1993
"104","6,627,793","Universite du Quebec A Montreal ","Montreal"," CA","       December 28",1998
"105","5,731,419","Universite du Quebec a Montreal ","Montreal"," CA","       August 16",1993
"106","5,733,563","Universite du Quebec a Montreal ","CA","CA","       January 23",1996
"107","7,294,501","Universite De Sherbrooke ","Sherbrooke"," CA","       December 8",2003
"108","5,861,161","Universite de Montreal ","Quebec"," CA","       September 7",1994
"109","7,419,968","Universite De Montreal ","Montreal"," Quebec, CA","       June 8",2004
"110","8,034,895","Universite de Montreal ","Montreal"," Quebec, CA","       February 2",2005
"111","5,935,781","Universite de Montreal ","Montreal"," CA","       May 9",1997
"112","5,935,781","University of Massachusettes ","Boston"," MA","       May 9",1997
"113","8,133,618","Universite de Montreal ","Montreal"," CA","       April 3",2009
"114","8,133,618","Centre National de la Recherche Scientifique ","Paris"," FR","       April 3",2009
"115","8,133,618","Phostech Lithium Inc.","Montreal"," CA","       April 3",2009
"116","8,048,565","Universite de Montreal ","Montreal"," CA","       November 23",2010
"117","8,048,565","Centre National de la Recherche Scientifique ","Paris"," FR","       November 23",2010
"118","8,048,565","Phostech Lithium Inc.","Montreal"," CA","       November 23",2010
"119","7,378,034","Universite de Montreal ","Montreal"," CA","       January 17",2007
"120","7,378,034","Centre National de la Recherche Scientifique ","Paris"," FR","       January 17",2007
"121","7,378,034","Institute of Organic Chemistry National Academy of Sciences of Ukraine ","UA","UA","       January 17",2007
"122","6,339,071","Universite de Montreal ","Montreal"," CA","       December 3",1999
"123","6,339,071","Centre Hospitalier de l'Universitede Montreal ","CHUM","CHUM","       December 3",1999
"124","6,339,071"," ","Montreal"," CA","       December 3",1999
"125","6,043,081","Universite De Montreal ","Montreal"," CA","       September 7",1995
"126","5,773,460","Universite De Montreal ","Montreal"," CA","       July 1",1996
"127","5,710,038","Universite De Montreal ","Montreal"," CA","       November 25",1994
"128","5,631,131","Universite De Montreal ","Montreal"," CA","       January 19",1995
"129","6,787,355","Universite De Montreal ","Montreal"," CA","       August 21",2001
"130","5,707,866","Universite De Montreal ","Montreal"," CA","       November 25",1994
"131","7,070,974","Universite de Montreal ","Montreal"," CA","       February 11",2000
"132","6,987,003","Universite de Montreal ","Montreal"," CA","       May 21",1999
"133","6,613,532","Universite de Montreal ","Montreal"," CA","       November 7",2001
"134","6,468,539","Universite de Montreal ","Montreal"," CA","       January 19",1999
"135","5,854,216","Universite de Montreal ","Montreal"," CA","       July 24",1996
"136","5,850,001","Universite de Montreal ","Montreal"," CA","       July 24",1996
"137","5,652,097","Universite de Montreal ","Montreal"," CA","       December 14",1994
"138","5,580,867","Universite de Montreal ","Montreal"," CA","       September 9",1994
"139","5,569,827","Universite de Montreal ","Montreal"," CA","       June 6",1994
"140","5,556,992","Universite de Montreal ","Montreal"," CA","       September 2",1994
"141","5,545,525","Universite de Montreal ","Montreal"," CA","       March 7",1994
"142","5,539,096","Universite de Montreal ","Montreal"," CA","       September 8",1994
"143","5,389,516","Universite de Montreal ","Montreal"," CA","       March 19",1993
"144","5,955,068","Universite de Montreal ","Montreal"," CA","       October 16",1997
"145","6,762,160","Universite de Montreal ","Montreal"," CA","       May 9",2001
"146","7,335,230","Universite de Montreal ","Montreal"," CA","       October 6",2003
"147","7,045,612","Universite de Montreal ","Montreal"," CA","       February 11",2000
"148","6,969,608","Universite de Montreal ","Montreal"," CA","       May 21",1999
"149","6,461,490","Universite de Montreal ","Montreal"," CA","       January 19",1999
"150","6,060,247","Universite de Montreal ","Montreal"," CA","       October 28",1997
"151","5,681,733","Universite de Montreal ","Montreal"," CA","       May 21",1996
"152","5,652,094","Universite de Montreal ","Montreal"," CA","       December 14",1994
"153","5,554,530","Universite de Montreal ","Montreal"," CA","       June 6",1994
"154","5,455,176","Universite de Montreal ","Montreal"," CA","       September 8",1994
"155","5,942,480","Universite de Montreal ","CA","CA","       June 27",1997
"156","5,759,970","Universite de Montreal ","CA","CA","       July 9",1997
"157","5,731,275","Universite de Montreal ","CA","CA","       December 30",1994
"158","7,169,783","Universite de Montreal ","CA","CA","       December 17",2001
"159","3,954,868","Uniroyal, Inc.","New York"," NY","       February 8",1974
"160","3,954,868","Uniroyal Ltd.","Montreal"," CA","       February 8",1974
"161","3,947,264","Uniroyal, Inc.","New York"," NY","       April 9",1974
"162","3,947,264","Uniroyal Ltd.","Montreal"," CA","       April 9",1974
"163","3,947,263","Uniroyal, Inc.","New York"," NY","       July 29",1974
"164","3,947,263","Uniroyal Ltd.","Montreal"," CA","       July 29",1974
"165","4,129,542","Uniroyal Ltd.","Montreal"," CA","       February 5",1976
"166","4,004,018","Uniroyal Inc.","New York"," NY","       June 20",1974
"167","4,004,018","Uniroyal, Ltd.","Montreal"," CA","       June 20",1974
"168","4,826,668","Union Carbide Corporation ","Danbury"," CT","       June 11",1987
"169","6,022,933","Union Carbide Chemicals & Plastics Technology Corporation ","Danbury"," CT","       August 14",1997
"170","6,022,933","Peiromont and Company Limited ","Montreal"," CA","       August 14",1997
"171","5,202,103","Union Carbide Chemicals & Plastics Technology Corporation ","Danbury"," CT","       December 20",1991
"172","5,681,882","Union Carbide Chemicals & Plastics Technology Corporation ","Danbury"," CT","       May 20",1993
"173","5,461,100","Union Carbide Chemicals & Plastics Technology Corporation ","Danbury"," CT","       May 29",1992
"174","5,968,407","Union Carbide Chemicals & Plastics Technology Corporation ","Danbury"," CT","       September 9",1992
"175","4,473,668","Union Carbide Canada Ltd.","Toronto"," CA","       May 9",1983
"176","4,473,668","National Research Council Canada ","Toronto"," CA","       May 9",1983
"177","4,059,534","Union Carbide Canada Limited ","Toronto"," CA","       April 7",1976
"178","5,348,956","UCB S.A.","Bruxelles"," BE","       August 9",1993
"179","5,258,513","UCB S.A.","Brussels"," BE","       July 20",1992
"180","7,004,799","Tyco Electronics Corporation ","Middletown"," PA","       January 21",2003
"181","7,452,862","Tranzyme Pharma, Inc.","CA","CA","       August 2",2004
"182","7,591,990","Transfert Plus, S.E.C. Inc.","Montreal"," CA","       May 8",2006
"183","7,851,091","Transfert Plus, S.E.C.","West Montreal"," Quebec, CA","       December 13",2005
"184","7,919,103","Transfert Plus ","Montreal"," CA","       May 7",2004
"185","7,727,628","Torr Canada, Inc.","Montreal"," Quebec, CA","       January 15",2004
"186","6,677,453","Torcan Chemical LTD ","Aurora"," CA","       June 18",2002
"187","7,745,420","Topigen Pharmaceutique, Inc.","Montreal"," Quebec, CA","       July 8",2002
"188","8,173,796","Topigen Pharmaceutique Inc.","Montreal"," CA","       September 14",2010
"189","8,153,369","Topigen Pharmaceutique Inc.","Montreal"," CA","       September 14",2010
"190","7,825,236","Topigen Pharmaceutique Inc.","CA","CA","       August 7",2008
"191","7,579,455","Topigen Pharmaceutique Inc.","CA","CA","       September 29",2004
"192","7,972,795","Topigen Pharmaceuticals, Inc.","Montreal"," Quebec, CA","       May 18",2007
"193","7,435,449","Tnemec Company, Inc.","Kansas City"," MO","       December 20",2004
"194","6,020,311","Theratechnologies, Inc.","Montreal"," CA","       September 8",1998
"195","6,864,239","Theratechnologies Inc. (St.","St. Laurent"," CA","       March 27",2003
"196","7,067,488","TheraTechnologies Inc.","Saint-Laurent"," CA","       September 25",2003
"197","7,094,761","Theratechnologies Inc.","Quebec"," CA","       October 28",2004
"198","8,314,066","Theratechnologies Inc.","Montreal"," Quebec, CA","       October 23",2007
"199","6,458,764","Theratechnologies Inc.","Montreal"," CA","       September 3",1999
"200","5,939,386","Theratechnologies Inc.","Montreal"," CA","       August 23",1996
"201","5,861,379","Theratechnologies Inc.","Montreal"," CA","       August 23",1996
"202","5,716,812","The University of British Columbia ","Vancouver"," CA","       December 12",1995
"203","5,405,957","The University of British Columbia ","Vancouver"," CA","       October 30",1992
"204","8,168,610","The University of British Columbia ","Vancouver"," CA","       January 11",2011
"205","7,932,234","The University of British Columbia ","Vancouver"," CA","       May 13",2005
"206","5,770,749","The University of British Columbia - University Maison Office ","Vancouver"," CA","       August 30",1996
"207","6,458,590","The United States of America, as represented by the Department of Health ","N/A","N/A","       June 23",2000
"208","6,458,590"," ","Washington"," DC","       June 23",2000
"209","7,598,071","The United States of America as represented by the Department of Health and Human Services ","Washington"," DC","       July 9",2004
"210","7,598,071","N/A ","Quebec"," CA","       July 9",2004
"211","7,598,071","Institut National de Recherche Scientifique ","N/A","N/A","       July 9",2004
"212","6,617,103","The United States of America as represented by the Department of Health and Human Services ","Washington"," DC","       August 13",1999
"213","6,617,103","N/A ","N/A","N/A","       August 13",1999
"214","6,617,103","Universite de Montreal ","N/A","N/A","       August 13",1999
"215","8,202,847","The Trustees of the University of Pennsylvania ","Philadelphia"," PA","       November 10",2008
"216","8,202,847","Valorisation-Recherche, Societe En Commandite ","Montreal"," CA","       November 10",2008
"217","6,210,895","The Sir Mortimer B.","CA","CA","       June 1",1999
"218","6,210,895","Schipper; Hyman M.","CA","CA","       June 1",1999
"219","6,210,895","Chertkow; Howard ","CA","CA","       June 1",1999
"220","7,105,485","The Sir Mortimer B.","Montreal"," CA","       July 25",2001
"221","7,105,485","Schipper; Hyman M.","Montreal"," CA","       July 25",2001
"222","6,300,473","The Sir Mortimer B.","Montreal"," CA","       June 29",1999
"223","7,851,178","The Royal Institution for the Advancement of Learning/McGill University ","Montreal"," CA","       September 15",2006
"224","7,851,178","Val-Chum, S.E.C.","Montreal"," CA","       September 15",2006
"225","8,168,801","The Royal Institution for the Advancement of Learning/McGill University ","Montreal"," CA","       March 12",2008
"226","8,168,801","The Hong Kong Polytechnic University ","Kowloon"," HK","       March 12",2008
"227","7,960,111","The Royal Institution for the Advancement of Learning/McGill University ","Montreal"," CA","       August 3",2006
"228","7,935,349","The Royal Institution for the Advancement of Learning/McGill University ","Montreal"," CA","       March 19",2007
"229","7,820,009","The Royal Institution for the Advancement of Learning/McGill University ","Montreal"," CA","       February 7",2007
"230","8,147,879","The Royal Institution for the Advancement of Learning/McGill University ","Montreal"," CA","       September 18",2007
"231","7,951,931","The Royal Institution for the Advancement of Learning/McGill University ","Montreal"," CA","       August 3",2006
"232","5,212,086","The Royal Institution for the Advancement of Learning (on Behalf of (Ste.","Ste. Anne De Bellevue"," CA","       May 28",1991
"233","5,192,683","The Royal Institution for the Advancement of Learning ","McGill University","McGill University","       July 25",1988
"234","5,192,683"," ","Quebec"," CA","       July 25",1988
"235","4,541,861","The Royal Institution for the Advancement of Learning ","McGill University","McGill University","       September 13",1984
"236","4,541,861"," ","Montreal"," CA","       September 13",1984
"237","4,992,378","The Royal Institution for the Advancement of Learning ","McGill University","McGill University","       December 16",1988
"238","4,992,378"," ","Montreal"," CA","       December 16",1988
"239","4,593,073","The Royal Institution for the Advancement of Learing ","Montreal"," CA","       April 23",1985
"240","6,020,162","The Rockefeller University ","New York"," NY","       June 12",1998
"241","6,020,162","McGill University ","Montreal"," CA","       June 12",1998
"242","5,872,011","The Rockefeller University ","New York"," NY","       June 13",1997
"243","5,872,011","McGill University ","Montreal"," CA","       June 13",1997
"244","7,829,528","The Rockefeller University ","New York"," NY","       September 12",2005
"245","6,476,297","The Research Foundation of State University of NY ","Albany"," NY","       July 8",1999
"246","5,837,507","The Regents of the University of California ","Oakland"," CA","       November 13",1995
"247","5,837,507","Humphries; Keith ","Oakland"," CA","       November 13",1995
"248","5,837,507","Sauvageau; Guy ","Oakland"," CA","       November 13",1995
"249","6,218,526","The Regents of the University of California ","Oakland"," CA","       August 20",1998
"250","6,218,526","Exelixis Pharmaceuticals, Inc.","South San Francisco"," CA","       August 20",1998
"251","5,824,775","The Regents of the University of California ","Oakland"," CA","       April 19",1996
"252","8,288,147","The Regents of the University of California ","Oakland"," CA","       February 15",2011
"253","7,915,026","The Regents of the University of California ","Oakland"," CA","       October 8",2009
"254","7,736,882","The Regents of the University of California ","Oakland"," CA","       December 14",2006
"255","7,622,283","The Regents of the University of California ","Oakland"," CA","       December 14",2006
"256","7,622,282","The Regents of the University of California ","Oakland"," CA","       December 13",2006
"257","5,298,526","The Ohio State University Research Foundation ","Columbus"," OH","       March 6",1992
"258","3,980,493","The Ogilvie Flour Mills Company, Limited ","Montreal"," CA","       April 8",1975
"259","6,060,451","The National Research Council of Canada ","Ottawa"," CA","       March 20",1995
"260","4,339,466","The Molson Companies, Limited ","Rexdale"," CA","       August 26",1980
"261","4,253,878","The Molson Companies Limited ","Toronto"," CA","       December 26",1979
"262","4,207,345","The Molson Companies Limited ","Toronto"," CA","       March 17",1978
"263","4,495,204","The Molson Companies Limited ","Ontarion"," CA","       July 27",1983
"264","8,206,725","The Council of the Queensland Institute of Medical Research ","Herston"," AU","       June 30",2004
"265","8,206,725","McGill University ","Montreal"," CA","       June 30",2004
"266","4,499,141","The Coca-Cola Company ","Atlanta"," GA","       September 2",1982
"267","4,363,849","The Coca-Cola Company ","Atlanta"," GA","       October 30",1980
"268","6,867,323","The Board of Trustees of the University of Illinois ","Urbana"," IL","       June 6",2001
"269","7,700,118","The Board of Trustees of the Leland Stanford Junior University ","Palo Alto"," CA","       March 14",2008
"270","7,638,278","The Board of Trustees of the Leland Stanford Junior University ","Palo Alto"," CA","       May 12",2006
"271","7,364,740","The Board of Trustees of the Leland Stanford Junior University ","Palo Alto"," CA","       June 1",2005
"272","6,686,166","The Board of Trustees of the Leland Stanford Junior University ","Palo Alto"," CA","       June 27",2001
"273","6,291,190","The Board of Trustees of the Leland Stanford Junior University ","Palo Alto"," CA","       May 25",1999
"274","4,692,424","The Asbestos Institute ","Montreal"," CA","       June 17",1986
"275","4,615,995","The Asbestos Institute ","Montreal"," CA","       January 3",1984
"276","6,365,294","The Administrators of The Tulane Educational Fund ","New Orleans"," LA","       April 30",1999
"277","4,732,881","The Abestos Institute ","Quebec"," CA","       September 25",1986
"278","7,297,524","Thallion Pharmceuticals Inc.","Montreal"," CA","       January 12",2006
"279","7,294,713","Thallion Pharmceuticals Inc.","Montreal"," CA","       January 12",2006
"280","7,655,646","Thallion Pharmaceuticals, Inc.","Montreal"," CA","       December 21",2007
"281","7,635,765","Thallion Pharmaceuticals, Inc.","Montreal"," CA","       August 17",2005
"282","7,416,868","Thallion Pharmaceuticals, Inc.","Montreal"," CA","       January 21",2004
"283","7,384,935","Thallion Pharmaceuticals, Inc.","Montreal"," CA","       September 27",2006
"284","7,358,241","Thallion Pharmaceuticals, Inc.","Montreal"," CA","       May 16",2005
"285","7,257,562","Thallion Pharmaceuticals Inc.","Saint-Laurent"," Quebec, CA","       September 3",2002
"286","8,076,287","Thallion Pharmaceuticals Inc.","Montreal"," Quebec, CA","       March 28",2007
"287","8,043,825","Thallion Pharmaceuticals Inc.","Montreal"," Quebec, CA","       March 28",2007
"288","7,375,088","Thallion Pharmaceuticals Inc.","Montreal"," CA","       January 21",2004
"289","7,312,339","Thallion Pharmaceuticals Inc.","Montreal"," CA","       June 14",2004
"290","7,304,054","Thallion Pharmaceuticals Inc.","Montreal"," CA","       September 27",2005
"291","7,462,705","Thallion Pharmaceuticals Inc.","CA","CA","       February 8",2005
"292","5,942,020","Tensor Machinery Limited ","Montreal"," CA","       June 3",1997
"293","7,326,541","Targanta Therapeutics, Inc. (St.","St. Laurent"," Quebec, CA","       December 19",2001
"294","6,982,153","Targanta Therapeutics, Inc. (St.","St. Laurent"," CA","       September 28",1999
"295","7,101,969","Targanta Therapeutics ","Quebec"," CA","       October 12",2000
"296","6,340,704","Takeda Chemical Industries, Ltd.","Osaka"," JP","       July 19",1999
"297","5,380,928","Synergistics Industries, Inc.","CA","CA","       August 18",1993
"298","6,093,391","Supratek Pharma, Inc.","Montreal"," CA","       February 27",1998
"299","6,221,959","Supratek Pharma, Inc.","Montreal"," CA","       July 30",1998
"300","7,772,255","Supratek Pharma, Inc.","Dorval"," Quebec, CA","       December 13",2005
"301","6,733,755","Supratek Pharma, Inc.","CA","CA","       February 2",2001
"302","6,696,274","Supratek Pharma, Inc.","CA","CA","       May 3",2001
"303","7,112,654","Supratek Pharma Inc.","CA","CA","       February 23",2004
"304","6,440,743","Supratek Pharma Inc.","CA","CA","       May 26",1999
"305","4,898,655","Sumitomo Chemical Company, Ltd.","Osaka"," JP","       July 15",1988
"306","5,698,742","Sumitomo Chemical Company, Limited ","Osaka"," JP","       July 8",1993
"307","5,231,227","Sumitomo Chemical Company, Limited ","Osaka"," JP","       April 1",1992
"308","5,120,853","Sumitomo Chemical Company, Limited ","Osaka"," JP","       February 8",1991
"309","5,011,989","Sumitomo Chemical Company, Limited ","Osaka"," JP","       October 3",1988
"310","4,954,651","Sumitomo Chemical Company, Limited ","Osaka"," JP","       May 1",1989
"311","4,908,455","Sumitomo Chemical Company, Limited ","Osaka"," JP","February 19",1988
"312","4,948,914","Sumitomo Chemical Co.","Osaka"," JP","       May 16",1989
"313","4,914,161","Societe Nationale Elf Aquitaine ","Courbevoie"," FR","       July 11",1986
"314","4,914,161","Hydro-Quebec ","Montreal"," CA","       July 11",1986
"315","4,758,483","Societe Nationale Elf Aquitaine ","Courbevoie"," FR","       September 11",1985
"316","4,758,483","Hydro-Quebec ","Montreal"," CA","       September 11",1985
"317","4,578,326","Societe Nationale Elf Aquitaine ","Courbevoie"," FR","       February 28",1984
"318","4,578,326","Hydro-Quebec ","Montreal"," CA","       February 28",1984
"319","7,566,734","Societe de Conseils de Recherches et d'Applications Scientifiques, S.A.S.","Paris"," FR","       July 31",2001
"320","7,220,765","Societe de Conseils de Recherches et d'Applications Scientifiques ","Paris"," FR","       July 8",2003
"321","7,393,861","Societe de Conseils de Recherches et d'Applications Scientifiques ","Paris"," FR","       May 4",2005
"322","6,727,269","Societe de Conseils de Recherches et d'Applications Scientifiques ","Paris"," FR","       January 15",2002
"323","7,115,634","Societe de Conseils de Recherches et d'Applications Scientifiques ","Paris"," FR","       December 13",2000
"324","5,388,519","SNC Industrial Technologies Inc.","Montreal"," CA","       July 26",1993
"325","6,703,504","Slemon; Clarke ","Potland"," CA","       February 11",2002
"326","5,783,667","Sir Mortimer B.","Montreal"," CA","       December 23",1994
"327","6,632,912","Silvachem, Inc.","Montreal"," CA","       August 22",2002
"328","6,489,105","SignalGene Inc.","Montreal"," CA","       March 18",1999
"329","6,153,376","Signalgene ","Montreal"," CA","       October 23",1998
"330","8,148,061","Siemens Healthcare Diagnostics Inc.","Tarrytown"," NY","       August 17",2004
"331","6,096,876","Shriners Hospitals for Children ","Tampa"," FL","       August 6",1997
"332","6,831,174","Shire BioChem Inc.","Quebec"," CA","       January 16",2001
"333","7,442,813","Shire Biochem Inc.","Quebec"," CA","       March 5",2007
"334","7,122,693","Shire BioChem Inc.","Laval"," CA","       July 9",2004
"335","6,960,594","Shire BioChem Inc.","Laval"," CA","       January 16",2002
"336","6,790,829","SeaTek Marine Biotechnology, Inc.","Surrey"," CA","       September 29",1998
"337","6,790,829","University of British Columbia ","Vancouver"," CA","       September 29",1998
"338","7,879,980","Schering Corporation ","Kenilworth"," NJ","       October 31",2007
"339","7,879,980","Institut National de la Sante Et de la Recherche Medicale ","INSERM","INSERM","       October 31",2007
"340","7,879,980"," ","Paris Cedex"," FR","       October 31",2007
"341","5,369,109","Sagami Chemical Research Center ","Tokyo"," JP","       June 17",1993
"342","5,276,154","Sagami Chemical Research Center ","Tokyo"," JP","       August 21",1991
"343","7,319,145","Rozen; Rima ","Montreal West"," Quebec, CA","       December 3",2001
"344","7,316,900","Rozen; Rima ","Montreal West"," Quebec, CA","       December 3",2001
"345","5,100,456","Royal Institution for the Advancement of Learning ","McGill University","McGill University","       July 12",1990
"346","5,100,456"," ","Montreal"," CA","       July 12",1990
"347","5,194,600","Royal Institute for the Advancement of Learning ","Montreal"," CA","       March 5",1990
