Label,City,Country,regions,classification,nations,degree_normalized,degree,clossness_normalized,closeness,betweenness,betweenness_normalized,eigenvector,pagerank
H&ocirc ;pital Sainte-Justine ,Montreal,CA,internal,individual,within,0.007772021,3,0.013539584,3.51E-05,1251,0.016836014,0.01064904,0.003043668
Her Majesty the Queen in the Right of Canada as Represented by the Minister of Agriculture and Agri-Food Soils and Crops Research and Dev ,Montreal,CA,internal,public institute,within,0.007772021,3,0.013682606,3.54E-05,0,0,0.096667684,0.001845989
Hospital Sainte-Justine ,Montreal,CA,internal,public institute,within,0.007772021,3,0.013617442,3.53E-05,104.5473839,0.001407003,0.032146825,0.001840135
Institut Pasteur ,Lille,FR,external,public institute,outside,0.007772021,3,0.013542909,3.51E-05,133.8853942,0.001801836,0.00606204,0.002384709
Kotinos Pharmaceuticals Inc.,New York,NY,external,business,outside,0.007772021,3,0.013560513,3.51E-05,48.11858974,0.000647582,0.004251372,0.002019729
Labopharm ,Laval,CA,external,business,within,0.007772021,3,0.013557179,3.51E-05,9.952964519,0.000133947,0.011276537,0.001839777
Institut National de la Recherche Scientifique ,Montreal,CA,internal,public institute,within,0.007772021,3,0.01361552,3.53E-05,444.2661379,0.005978953,0.013941673,0.002003885
Massachusetts Institute of Technology ,Cambridge,MA,external,public institute,outside,0.007772021,3,0.013679697,3.54E-05,460.7855294,0.006201272,0.070495271,0.002313192
La Corporation de l'Ecole Polytechnique ,Montreal,CA,internal,business,within,0.007772021,3,0.013662266,3.54E-05,0,0,0.104728277,0.00148331
Martin R&F Inc.,Montreal,CA,internal,business,within,0.007772021,3,0.013665168,3.54E-05,1555,0.020927259,0.069495752,0.002298688
MSD Italia S.R.L.,Rome,IT,external,business,outside,0.007772021,3,0.013628981,3.53E-05,1.837835775,2.47E-05,0.034475841,0.001627928
MURATA MANUFACTURING CO.,Kyoto,JP,external,business,outside,0.007772021,3,0.013694742,3.55E-05,0,0,0.137560889,0.001644897
Mimetogen Pharmaceuticals Inc.,Montreal,CA,internal,business,within,0.007772021,3,0.013505003,3.50E-05,629,0.00846511,0.001629997,0.002903889
Nortel Networks Corporation ,Montreal,CA,internal,business,within,0.007772021,3,0.002597403,6.73E-06,0,0,0,0.002869224
"Ocera Therapeutics, Inc.",Palo Alto,CA,external,business,within,0.007772021,3,0.013681636,3.54E-05,820.0118199,0.011035756,0.069846439,0.002392714
Odyssey Thera Inc.,San Ramon,CA,external,business,within,0.007772021,3,0.013604004,3.52E-05,559.6142209,0.007531313,0.020804309,0.002286517
ORBITE TECHNOLOGIES INC.,St-Laurent,CA,external,business,within,0.007772021,3,0.013509257,3.50E-05,629,0.00846511,0.001211691,0.003207768
"Paladin Labs, Inc.",Montreal,CA,internal,business,within,0.007772021,3,0.013693285,3.55E-05,0,0,0.119117854,0.001785036
Pence ,Edmonton,CA,external,business,within,0.007772021,3,0.013677273,3.54E-05,315,0.004239284,0.138902698,0.002152947
"Phagetech, Inc.",Montreal,CA,internal,business,within,0.007772021,3,0.01357864,3.52E-05,8.333333333,0.00011215,0.015030984,0.002048289
Polyvalor Societe en Commandite ,Montreal,CA,internal,business,within,0.007772021,3,0.013483774,3.49E-05,4517.333333,0.060794473,0.00045439,0.002704874
Prometic Biosciences Inc.,Laval,CA,external,business,within,0.007772021,3,0.013571479,3.52E-05,208.6163638,0.002807568,0.004642903,0.001992905
"Quebepharma Recherche, Inc.",Montreal,CA,internal,business,within,0.007772021,3,0.013530092,3.51E-05,628,0.008451652,0.009789085,0.002741327
Queen's University ,Kingston,CA,external,university,within,0.007772021,3,0.002597403,6.73E-06,0,0,0,0.002869224
Sauvageau; Guy ,Oakland,CA,external,individual,within,0.007772021,3,0.01361552,3.53E-05,4.388888889,5.91E-05,0.025325731,0.001762649
The Institute of Microbiology and Hygiene of the University of Montreal ,Ville Laval,CA,external,university,within,0.007772021,3,0.002597403,6.73E-06,0,0,0,0.002869224
The Trustees of the University of Pennsylvania ,Philadelphia,PA,external,university,outside,0.007772021,3,0.013576252,3.52E-05,0,0,0.010491063,0.00184483
UNIVERSITATSKLINIKUM HEIDELBERG ,Heidelberg,DE,external,university,outside,0.007772021,3,0.013603524,3.52E-05,0,0,0.089732118,0.001749158
Universite Laval ,Laval,CA,external,university,within,0.007772021,3,0.013707873,3.55E-05,706.3891467,0.009506617,0.073208939,0.001758112
Universite Pierre Et Marie Curie ,Paris,,external,university,outside,0.007772021,3,0.013527247,3.50E-05,315,0.004239284,0.011011621,0.002152364
Valorbec S.E.C.,Montreal,CA,internal,business,within,0.007772021,3,0.013508784,3.50E-05,315,0.004239284,0.001295442,0.002755134
Xerox Corporation ,Norwalk,CT,external,business,outside,0.007772021,3,0.013600648,3.52E-05,44.87234432,0.000603894,0.015044085,0.001994049
Abbott Laboratories ,Abbott Park,IL,external,public institute,outside,0.005181347,2,0.01351304,3.50E-05,35.93055556,0.000483555,0.001192537,0.001664407
"Achaogen, Inc.",South San Francisco,CA,external,business,within,0.005181347,2,0.01357673,3.52E-05,166.3547241,0.002238809,0.012590553,0.001555524
Actelion Pharmaceuticals Ltd.,Allschwil,CH,external,business,outside,0.005181347,2,0.013610719,3.53E-05,5.519491709,7.43E-05,0.018830698,0.001266246
Aenorasis SA Pharmaceuticals and Medical Devices ,Athens,GR,external,business,outside,0.005181347,2,0.013559084,3.51E-05,0,0,0.003457398,0.001402009
Alethia Biotherapeutics Inc.,Montreal,CA,internal,business,within,0.005181347,2,0.013507366,3.50E-05,0,0,0.002400226,0.00161996
Beta Pharma Canada Inc.,Montreal,CA,internal,business,within,0.005181347,2,0.013590592,3.52E-05,315,0.004239284,0.014641604,0.001802562
Bioaxone Therapeutique Inc.,Montreal,CA,internal,business,within,0.005181347,2,0.013665652,3.54E-05,0,0,0.080660398,0.001230484
Biochem Immunosystems Inc.,Montreal,CA,internal,business,within,0.005181347,2,0.013559084,3.51E-05,39.01442654,0.000525058,0.003290856,0.001451614
Bioniche Life Sciences Inc.,Belleville,CA,external,business,within,0.005181347,2,0.002597403,6.73E-06,0,0,0,0.002583979
"Bionicrie Life Sciences, Inc.",Belleville,CA,external,business,within,0.005181347,2,0.002597403,6.73E-06,0,0,0,0.002583979
BL Technology Limited ,London,GB2,external,business,outside,0.005181347,2,0.013209226,3.42E-05,0,0,1.08E-05,0.002162623
BRAV METAL TECHNOLOGIES INC.,Montreal,CA,internal,business,within,0.005181347,2,0.01354386,3.51E-05,0,0,0.00831876,0.001672122
C-I-L Inc.,Montreal,CA,internal,business,within,0.005181347,2,0.012937391,3.35E-05,0,0,2.45E-08,0.002229269
Cancer Care Ontario ,Toronto,CA,external,business,within,0.005181347,2,0.013676788,3.54E-05,0,0,0.079784747,0.001368348
"Caprion Pharmaceuticals, Inc.",Saint Laurent,CA,external,business,within,0.005181347,2,0.013370281,3.46E-05,0,0,0.000387275,0.001967308
Centre de Recherche de l'Hopital Ste-Justine ,Montreal,CA,internal,public institute,within,0.005181347,2,0.002597403,6.73E-06,1,1.35E-05,0,0.003771213
Universite de Montreal ,Montreal,CA,internal,university,within,0.005181347,2,0.013507366,3.50E-05,0,0,0.002400226,0.00161996
"CERESTECH, INC.",Montreal,CA,internal,business,within,0.005181347,2,0.013072338,3.39E-05,3.333333333,4.49E-05,4.81E-07,0.002078233
Chaichem Pharmaceuticals International ,Laval,CA,external,business,within,0.005181347,2,0.013393477,3.47E-05,628,0.008451652,0.000739607,0.002408002
"Chemetics International Company, Ltd.",Montreal,CA,internal,business,within,0.005181347,2,0.012937391,3.35E-05,0,0,2.45E-08,0.002229269
Clinical Research Institute of Montreal ,Montreal,CA,internal,public institute,within,0.005181347,2,0.013630425,3.53E-05,8.077791986,0.000108711,0.013550556,0.001355188
Conseil National de Recherches Canada ,Ottawa,CA,external,business,within,0.005181347,2,0.013508311,3.50E-05,0,0,0.001289653,0.0017844
"Synergistics Industries, Inc.",Missisauga,CA,external,business,within,0.005181347,2,0.013692799,3.55E-05,0,0,0.110884482,0.001279276
"Exelixis Pharmaceuticals, Inc.",South San Francisco,CA,external,business,within,0.005181347,2,0.013583418,3.52E-05,0,0,0.027711706,0.001324452
Enerkem Inc.,Montreal,CA,internal,business,within,0.005181347,2,0.013677273,3.54E-05,315,0.004239284,0.069451349,0.001840704
ExxonMobil Chemical Patents Inc.,Baytown,TX,external,business,outside,0.005181347,2,0.013344396,3.46E-05,1006.666667,0.013547765,3.17E-05,0.001952584
