number,Inventors,cities,countries,date,year
"7,169,937", Szentivanyi; Zsolt ,Leverkusen, DE,       September 15,2003
"7,169,937", Glander; Stefan ,Sarnia," CA ,CA",       September 15,2003
"6,534,597", Adam; Herve ,Princeton, NJ,       March 29,2001
"6,534,597"," Anderson, Jr.; Eugene J.",Marlton, NJ,       March 29,2001
"6,534,597", Chen; Ning ,Plainsboro, NJ,       March 29,2001
"6,534,597", Reierson; Robert Lee ,West Windsor,CA,       March 29,2001
"5,169,518", Adams; Brian B.,Sarnia, CA,       August 19,1991
"5,169,518", Thompson; John A.,Lady Smith," CA ,CA",       August 19,1991
"4,404,417", Adams; John R.,Sarnia, CA,24-Jul,1981
"4,404,417", Gelbein; Abraham P.,Morristown, NJ,24-Jul,1981
"4,404,417", Hansen; Robert ,West Caldwell, NJ,24-Jul,1981
"4,404,417", Peress; Jimmy Y.,Jamaica, NY,24-Jul,1981
"4,404,417", Sherwin; Martin B.,Potomac," MD ,CA",24-Jul,1981
"4,404,416", Adams; John R.,Sarnia, CA,24-Jul,1981
"4,404,416", Gelbein; Abraham P.,Morristown, NJ,24-Jul,1981
"4,404,416", Hansen; Robert ,West Caldwell, NJ,24-Jul,1981
"4,404,416", Peress; Jimmy Y.,Jamaica, NY,24-Jul,1981
"4,404,416", Sherwin; Martin B.,Potomac," MD ,CA",24-Jul,1981
"5,492,925", Addor; Roger W.,Pennington, NJ,       August 31,1993
"5,492,925"," Furch, III; Joseph A.",Lawrenceville, NJ,       August 31,1993
"8,802,427", Adelson; Martin E.,Cherry Hill, NJ,26-Aug,2011
"8,802,427", Trama; Jason ,Burlington, NJ,26-Aug,2011
"8,802,427", Mordechai; Eli ,Robbinsville," NJ ,CA",26-Aug,2011
"9,969,872", Adkinson; Dana K.,London, CA,08-Sep,2014
"9,969,872", Bielby; Jon ,Wyoming," CA ,CA",08-Sep,2014
"6,468,787", Affleck; Rhett L.,Lawrenceville, NJ,       April 19,1999
"6,468,787", Hobbs; Doug ,Lansdale, PA,       April 19,1999
"6,468,787", Feygin; Ilya ,Mountainside, NJ,       April 19,1999
"6,468,787", Kirk; Gregory L.,Skillman, NJ,       April 19,1999
"6,468,787", Connelly; James A.,Falls Township, PA,       April 19,1999
"6,468,787", Kieselbach; Peter ,Upper Black Eddy," PA ,CA",       April 19,1999
"6,410,342", Affleck; Rhett L.,Lawrenceville, NJ,       August 19,1997
"6,410,342", Hobbs; Doug ,Lansdale, PA,       August 19,1997
"6,410,342", Feygin; Ilya ,Mountainside, NJ,       August 19,1997
"6,410,342", Kirk; Gregory L.,Skillman, NJ,       August 19,1997
"6,410,342", Connelly; James A.,Falls Township, PA,       August 19,1997
"6,410,342", Kieselbach; Peter ,Upper Black Eddy," PA ,CA",       August 19,1997
"4,857,632", Ahlberg; David T.,Sarnia, CA,       June 13,1988
"4,857,632", Padliya; Dilipkumar ,Sarnia, CA,       June 13,1988
"4,857,632", Reed; Jeffery T.,Sarnia," CA ,CA",       June 13,1988
"6,887,870", Ahmad; Saleem ,Wall, NJ,       September 25,2000
"6,887,870", Wu; Shung C.,Princeton, NJ,       September 25,2000
"6,887,870", O'Neil; Steven V.,Newtown, PA,       September 25,2000
"6,887,870", Ngu; Khehyong ,Pennington, NJ,       September 25,2000
"6,887,870", Atwal; Karnail S.,Newtown, PA,       September 25,2000
"6,887,870", Weinstein; David S.,East Windsor,CA,       September 25,2000
"8,552,186", Ahmed; Gulzar ,Voorhees, NJ,06-Mar,2012
"8,552,186", Breslin; Henry J.,Lansdale, PA,06-Mar,2012
"8,552,186", Burke; Jason ,Charlottesville, VA,06-Mar,2012
"8,552,186", Curry; Matthew A.,Coatesville, PA,06-Mar,2012
"8,552,186", Diebold; James L.,Eagleville, PA,06-Mar,2012
"8,552,186", Dorsey; Bruce D.,Ambler, PA,06-Mar,2012
"8,552,186", Dugan; Benjamin J.,Glen Mills, PA,06-Mar,2012
"8,552,186", Guo; Tao ,Dayton, NJ,06-Mar,2012
"8,552,186", Learn; Keith S.,Perkiomenville, PA,06-Mar,2012
"8,552,186", Lisko; Joseph ,Alpharetta, GA,06-Mar,2012
"8,552,186", Liu; Rong-qiang ,Kendall Park, NJ,06-Mar,2012
"8,552,186", Mesaros; Eugen F.,Wallingford, PA,06-Mar,2012
"8,552,186", Milkiewicz; Karen L.,Exton, PA,06-Mar,2012
"8,552,186", Ott; Gregory R.,Media, PA,06-Mar,2012
"8,552,186", Theroff; Jay P.,West Chester, PA,06-Mar,2012
"8,552,186", Thieu; Tho ,Ambler, PA,06-Mar,2012
"8,552,186", Tripathy; Rabindranath ,Churchville, PA,06-Mar,2012
"8,552,186", Underiner; Theodore L.,Malvern, PA,06-Mar,2012
"8,552,186", Wells; Gregory J.,West Chester, PA,06-Mar,2012
"8,552,186", Zificsak; Craig A.,Downingtown," PA ,CA",06-Mar,2012
"8,148,391", Ahmed; Gulzar ,Voorhees, NJ,       October 23,2007
"8,148,391", Breslin; Henry Joseph ,Lansdale, PA,       October 23,2007
"8,148,391", Burke; Jason ,Charlottesville, VA,       October 23,2007
"8,148,391", Curry; Matthew A.,Coatesville, PA,       October 23,2007
"8,148,391", Diebold; James L.,Eagleville, PA,       October 23,2007
"8,148,391", Dorsey; Bruce ,Ambler, PA,       October 23,2007
"8,148,391", Dugan; Benjamin J.,Glen Mills, PA,       October 23,2007
"8,148,391", Guo; Tao ,Dayton, NJ,       October 23,2007
"8,148,391", Learn; Keith S.,Perkiomenville, PA,       October 23,2007
"8,148,391", Lisko; Joseph G.,Glenmoore, PA,       October 23,2007
"8,148,391", Liu; Rong-Qiang ,Kendall Park, NJ,       October 23,2007
"8,148,391", Mesaros; Eugen Florin ,Philadelphia, PA,       October 23,2007
"8,148,391", Milkiewicz; Karen ,Exton, PA,       October 23,2007
"8,148,391", Ott; Gregory R.,Media, PA,       October 23,2007
"8,148,391", Theroff; Jay P.,West Chester, PA,       October 23,2007
"8,148,391", Thieu; Tho V.,Ambler, PA,       October 23,2007
"8,148,391", Tripathy; Rabindranath ,Churchville, PA,       October 23,2007
"8,148,391", Underiner; Theodore L.,Malvern, PA,       October 23,2007
"8,148,391", Wells; Gregory J.,West Chester, PA,       October 23,2007
"8,148,391", Zificsak; Craig A.,Downingtown," PA ,CA",       October 23,2007
"9,975,786", Al-Sabawi; Mustafa ,London, CA,24-May,2016
"9,975,786", McGarvey; Gordon Bryce ,Sarnia, CA,24-May,2016
"9,975,786", Falkiner; Robert James ,Brampton, CA,24-May,2016
"9,975,786", McLean; Robert N.,Calgary, CA,24-May,2016
"9,975,786", Evers; Lawrence J.,Sarnia," CA ,CA",24-May,2016
"7,998,582", Albrecht; Sven ,Goslar, DE,       October 27,2009
"7,998,582", Kruft; Michael ,Brights Grove, CA,       October 27,2009
"7,998,582", Olbrich; Armin ,Seesen, DE,       October 27,2009
"7,998,582", Malcus; Stefan ,Goslar, DE,       October 27,2009
"7,998,582", Wiezoreck; Wolfgang ,Selb, DE,       October 27,2009
"7,998,582", McLeod; Trevor ,Sarnia, CA,       October 27,2009
"7,998,582", Siddiqui; Shuja ,Sarnia, CA,       October 27,2009
"7,998,582", Rops; Rob ,Petrolia, CA,       October 27,2009
"7,998,582", Hori; Hirofumi ,Ibaraki," JP ,CA",       October 27,2009
"7,622,190", Albrecht; Sven ,Goslar, DE,       September 12,2005
"7,622,190", Kruft; Michael ,Brights Grove, CA,       September 12,2005
"7,622,190", Olbrich; Armin ,Seesen, DE,       September 12,2005
"7,622,190", Malcus; Stefan ,Goslar, DE,       September 12,2005
"7,622,190", Wiezoreck; Wolfgang ,Selb, DE,       September 12,2005
"7,622,190", McLeod; Trevor ,Sarnia, CA,       September 12,2005
"7,622,190", Siddiqui; Shuja ,Sarnia, CA,       September 12,2005
"7,622,190", Rops; Rob ,Petrolia, CA,       September 12,2005
"7,622,190", Hori; Hirofumi ,Ibaraki," JP ,CA",       September 12,2005
"8,258,130", Aldous; Suzanne C ,Gillette, NJ,       September 30,2009
"8,258,130", Fennie; Michael W ,East Stroudsburg, PA,       September 30,2009
"8,258,130", Jiang; John Z ,Hillsborough, NJ,       September 30,2009
"8,258,130", John; Stanly ,Basking Ridge, NJ,       September 30,2009
"8,258,130", Mu; Lan ,Basking Ridge, NJ,       September 30,2009
"8,258,130", Pedgrift; Brian ,Flemington, NJ,       September 30,2009
"8,258,130", Pribish; James R ,Piscataway, NJ,       September 30,2009
"8,258,130", Rauckman; Barbara S ,Flemington, NJ,       September 30,2009
"8,258,130", Sabol; Jeffrey S ,Bridgewater, NJ,       September 30,2009
"8,258,130", Stoklosa; Grzegorz T ,Hillsborough, NJ,       September 30,2009
"8,258,130", Thurairatnam; Sukanthini ,Bedminster, NJ,       September 30,2009
"8,258,130", Vandeusen; Christopher Loren ,East Windsor,CA,       September 30,2009
"8,202,863", Aldous; Suzanne C.,Gillette, NJ,       April 4,2008
"8,202,863", Jiang; John Ziqi ,Hillsborough, NJ,       April 4,2008
"8,202,863", Lu; Jinqi ,Somerville, NJ,       April 4,2008
"8,202,863", Ma; Liang ,Hillsborough, NJ,       April 4,2008
"8,202,863", Mu; Lan ,Bedminster, NJ,       April 4,2008
"8,202,863", Munson; Harry Randall ,Annandale, NJ,       April 4,2008
"8,202,863", Sabol; Jeffrey Stephen ,Bridgewater, NJ,       April 4,2008
"8,202,863", Thurairatnam; Sukanthini ,Bedminster, NJ,       April 4,2008
"8,202,863", Vandeusen; Christopher Loren ,East Windsor,CA,       April 4,2008
"4,390,414", Alexander; A.,Sarnia," CA ,CA",       August 11,1981
"5,320,739", Alexander; A.,Sarnia, CA,       February 26,1993
"5,320,739", Blahey; Alan G.,Sarnia," CA ,CA",       February 26,1993
"4,253,979", Alexander; A.,Sarnia, CA,       February 5,1979
"4,253,979", Coupland; Keith ,Sarnia," CA ,CA",       February 5,1979
"4,738,939", Alexander; A.,Sarnia, CA,       July 14,1986
"4,738,939", Murray; Donald W.,Sarnia," CA ,CA",       July 14,1986
"4,822,503", Alexander; A.,Sarnia," ON/A, CA ,CA",       July 31,1987
"5,516,740", Alexander; Albert G.,Sarnia," CA ,CA",       October 28,1994
"6,391,225", Alexander; Albert Gordon ,Sarnia," CA ,CA",       February 7,2001
"6,254,799", Alexander; Albert Gordon ,Sarnia," CA ,CA",       February 8,2000
"4,612,263", Alexander; M.,Windsor, CT,       October 1,1985
"4,612,263", Riley; Brian ,Willimantic," CT ,CA",       October 1,1985
"5,608,070", Alexander; Rikki P.,High Wycombe, GB,       December 21,1994
"5,608,070", Warrellow; Graham J.,Northwood, GB,       December 21,1994
"5,608,070", Head; John C.,Windsor, GB,       December 21,1994
"5,608,070", Boyd; Ewan C.,Tullibody, GB,       December 21,1994
"5,608,070", Porter; John R.,Chinnor," GB ,CA",       December 21,1994
"8,999,010", Allison; Gerald ,East Windsor,CA,03-Sep,2010
"8,968,665", Allison; Gerald ,East Windsor,CA,07-Oct,2011
"4,172,715", Rao; M.,Princeton Junction," NJ ,CA",       August 30,1978
"5,391,757", Alvarado; Sergio I.,Princeton, NJ,       May 9,1994
"5,391,757"," Crews, Jr.; Alvin D.",Plainsboro, NJ,       May 9,1994
"5,391,757", Wepplo; Peter J.,Princeton, NJ,       May 9,1994
"5,391,757", Gange; David M.,Princeton, NJ,       May 9,1994
"5,391,757", Little; Desiree L.,Burlington," NJ ,CA",       May 9,1994
"5,338,883", Alvarado; Sergio I.,Princeton, NJ,       July 6,1993
"5,338,883"," Crews, Jr.; Alvin D.",Plainsboro, NJ,       July 6,1993
"5,338,883", Wepplo; Peter J.,Princeton, NJ,       July 6,1993
"5,338,883", Gange; David M.,Princeton, NJ,       July 6,1993
"5,338,883", Little; Desiree L.,Burlington," NJ ,CA",       July 6,1993
"5,252,539", Alvarado; Sergio I.,Princeton, NJ,       March 23,1992
"5,252,539"," Crews, Jr.; Alvin D.",Plainsboro, NJ,       March 23,1992
"5,252,539", Wepplo; Peter J.,Princeton, NJ,       March 23,1992
"5,252,539", Gange; David M.,Princeton, NJ,       March 23,1992
"5,252,539", Little; Desiree L.,Burlington," NJ ,CA",       March 23,1992
"4,992,094", Alvarado; Sergio I.,Princeton, NJ,       October 5,1989
"4,992,094"," Crews, Jr.; Alvin D.",Plainsboro, NJ,       October 5,1989
"4,992,094", Wepplo; Peter J.,Princeton, NJ,       October 5,1989
"4,992,094", Gange; David M.,Princeton, NJ,       October 5,1989
"4,992,094", Little; Desiree L.,Burlington," NJ ,CA",       October 5,1989
"9,185,861", Alves; Analiza ,Windsor HIA," IA ,CA",09-Dec,2011
"5,435,918", Alward; Sandra J.,Sarnia," CA ,CA",       November 19,1993
"4,769,128", Alward; Sandra J.,Sarnia, CA,       December 14,1987
"4,769,128", Fefer; Michael A.,Whitby," CA ,CA",       December 14,1987
"5,851,969", Alward; Sandra J.,Sarnia, CA,       September 7,1993
"5,851,969", Hayter; William N.,Sarnia," CA ,CA",       September 7,1993
"5,942,405", Ames; Robert S ,Havertown, PA,       June 16,1997
"5,942,405", Bergsma; Derk Jon ,Berwyn, PA,       June 16,1997
"5,942,405", Foley; James J ,Radnor, PA,       June 16,1997
"5,942,405", Saidapet-Kumar; Chandrika ,West Windsor, CA,       June 16,1997
"5,942,405", Sarau; Henry M ,Harleysville," PA ,CA",       June 16,1997
"9,822,150", Anderson; Annaliesa Sybil ,Upper Saddle River, NJ,27-Aug,2014
"9,822,150", Arumugham; Rasappa Gounder ,Lansdale, PA,27-Aug,2014
"9,822,150", Farley; John Erwin ,Chapel Hill, NC,27-Aug,2014
"9,822,150", Fletcher; Leah Diane ,Geneseo, NY,27-Aug,2014
"9,822,150", Harris; Shannon ,Nanuet, NY,27-Aug,2014
"9,822,150", Jansen; Kathrin Ute ,New York, NY,27-Aug,2014
"9,822,150", Jones; Thomas Richard ,New City, NY,27-Aug,2014
"9,822,150", Khandke; Lakshmi ,Nanuet, NY,27-Aug,2014
"9,822,150", Loun; Bounthon ,Athens, GA,27-Aug,2014
"9,822,150", Perez; John Lance ,Doylestown, PA,27-Aug,2014
"9,822,150", Zlotnick; Gary Warren ,New Windsor," CA ,CA",27-Aug,2014
"5,059,696", Anderson; Robert K.,Plainsboro, NJ,       March 15,1990
"5,059,696", DeCamp; Ann E. (N.,N. Plainfield, NJ,       March 15,1990
"5,059,696", Kawaguchi; Alan T.,Berkeley Heights, NJ,       March 15,1990
"5,059,696", King; Anthony O.,Hillsborough, NJ,       March 15,1990
"5,059,696", Mills; Sander G.,Woodbridge, NJ,       March 15,1990
"5,059,696", Volante; Ralph P.,East Windsor,CA,       March 15,1990
"4,238,383", Anderson; Thomas J.,Windsor," VT ,CA",       October 5,1978
"4,450,333", Andrejco; Matthew J.,North Hanover Township," Burlington County, NJ",       May 28,1982
"5,565,086", Andrew; David L.,Strathroy, CA,       March 12,1996
"5,565,086", Slack; David A.,Sarnia," CA ,CA",       March 12,1996
"5,770,542", Andrew; David Leslie ,Arkona, CA,       March 28,1997
"5,770,542", Slack; Brian Leslie ,Sarnia," CA ,CA",       March 28,1997
"5,807,815", Andrew; David Leslie ,Strathroy, CA,       March 14,1997
"5,807,815", Slack; Brian Leslie ,Sarnia," CA ,CA",       March 14,1997
"5,622,534"," Andrus, Jr.; Herbert E.",Granby," CT ,CA",       November 9,1994
"5,620,487"," Andrus, Jr.; Herbert E.",Granby," CT ,CA",       November 9,1994
"5,372,618"," Andrus, Jr.; Herbert E.",Granby," CT ,CA",       December 30,1992
"8,562,933"," Andrus, Jr.; Herbert E.",Granby, CT,29-Mar,2010
"8,562,933", Chiu; John. H.,West Hartford, CT,29-Mar,2010
"8,562,933", Liljedahl; Gregory N.,Tariffville, CT,29-Mar,2010
"8,562,933", Thibeault; Paul R.,Windsor, CT,29-Mar,2010
"8,562,933", Bozzuto; Carl R.,Enfield, CT,29-Mar,2010
"8,562,933", Beal; Corinne ,Voisins le Bretonneux, FR,29-Mar,2010
"8,562,933", Bialkowski; Michal T.,Untersiggenthal, CH,29-Mar,2010
"8,562,933", Brautsch; Andreas ,Wurenlingen, CH,29-Mar,2010
"8,562,933", Maghdissian; Laurent ,Orsay, FR,29-Mar,2010
"8,562,933", Vandycke; Michel ,Gambais," FR ,CA",29-Mar,2010
"5,688,296", Thibeault; Paul Robert ,Windsor," CT ,CA",       December 27,1994
"8,143,305", Anilkumar; Gopinadhan N.,Edison, NJ,       August 27,2008
"8,143,305", Bennett; Frank ,Cranford, NJ,       August 27,2008
"8,143,305", Chan; Tin-Yau ,Edison, NJ,       August 27,2008
"8,143,305", Chen; Kevin X.,Edison, NJ,       August 27,2008
"8,143,305", Sannigrahi; Mousumi ,Summit, NJ,       August 27,2008
"8,143,305", Velazquez; Francisco ,Clinton, NJ,       August 27,2008
"8,143,305", Venkatraman; Srikanth ,Edison, NJ,       August 27,2008
"8,143,305", Zeng; Qingbei ,Edison, NJ,       August 27,2008
"8,143,305", Duca; Jose S.,Cranford, NJ,       August 27,2008
"8,143,305", Lesburg; Charles A.,Short Hills, NJ,       August 27,2008
"8,143,305", Kozlowski; Joseph A.,Princeton, NJ,       August 27,2008
"8,143,305", Njoroge; F.,Warren, NJ,       August 27,2008
"8,143,305", Rosenblum; Stuart B.,West Orange, NJ,       August 27,2008
"8,143,305", Shih; Neng-Yang ,Lexington, MA,       August 27,2008
"8,143,305", Gavalas; Stephen J.,Manhasset, NY,       August 27,2008
"8,143,305", Jiang; Yueheng ,Whitehouse Station, NJ,       August 27,2008
"8,143,305", Pinto; Patrick A.,Morris Plains, NJ,       August 27,2008
"8,143,305", Pu; Haiyan ,Livingston, NJ,       August 27,2008
"8,143,305", Selyutin; Oleg B.,Kenilworth, NJ,       August 27,2008
"8,143,305", Wang; Li ,Nanuet, NY,       August 27,2008
"8,143,305", Wu; Wanli ,New Haven, CT,       August 27,2008
"8,143,305", Yang; Weiying ,Monmouth Junction, NJ,       August 27,2008
"8,143,305", Huang; Yuhua ,Westfield, NJ,       August 27,2008
"8,143,305", Huang; Hsueh-Cheng ,Scarsdale, NY,       August 27,2008
"8,143,305", Palermo; Robert ,Seattle, WA,       August 27,2008
"8,143,305", Feld; Boris ,New Milford," NJ ,CA",       August 27,2008
"6,391,902", Lennox; Joseph R.,Morrisville," NC ,CA",       June 25,2001
"6,288,099", Lennox; Joseph R.,Morrisville," NC ,CA",       December 3,1999
"4,876,242", Applebaum; Joy D.,North Brunswick, NJ,       September 21,1987
"4,876,242", Bayne; Marvin L.,Westfield, NJ,       September 21,1987
"4,876,242", Cascieri; Margaret A.,East Windsor,CA,       September 21,1987
"9,428,684", Appler; Paul ,Windsor, CA,21-Feb,2014
"9,428,684", Cranton; George E.,London, CA,21-Feb,2014
"9,428,684", Brass; Jack ,Toronto," CA ,CA",21-Feb,2014
"10,183,312", Appler; Paul Clarence ,Windsor, CA,02-Apr,2014
"10,183,312", Homenuik; Jesse ,North York, CA,02-Apr,2014
"10,183,312", Hill; Norma ,North York, CA,02-Apr,2014
"10,183,312", Cranton; George E.,North York," CA ,CA",02-Apr,2014
"4,073,790", Archibald; John L.,Windsor, EN,       February 12,1975
"4,073,790", Jackson; John L.,Exmouth," EN ,CA",       February 12,1975
"4,131,680", Archibald; John L.,Windsor, GB,       September 23,1976
"4,131,680", Jackson; John L.,Royston," GB ,CA",       September 23,1976
"4,357,333", Archibald; John L.,Windsor, GB2,       August 11,1980
"4,357,333", Boyle; John T. A.,Maidenhead," GB2 ,CA",       August 11,1980
"4,177,279", Archibald; John L.,Windsor, GB2,       July 21,1975
"4,177,279", Jackson; John L.,Royston," GB2 ,CA",       July 21,1975
"4,235,915", Archibald; John L.,Windsor, GB2,       December 5,1977
"4,235,915", Ward; Terence J.,Slough," GB2 ,CA",       December 5,1977
"4,426,387", Archibald; John L.,Windsor, GB2,       April 7,1982
"4,426,387", Ward; Terrence J.,Slough," GB2 ,CA",       April 7,1982
"4,105,771", Archibald; John L.,Windsor, GB2,       June 9,1977
"4,105,771", Wart; Terence J.,Cippenham," GB2 ,CA",       June 9,1977
"4,024,147", Archibald; John Leheup ,Windsor," EN ,CA",       April 18,1975
"3,971,787", Archibald; John Leheup ,Windsor, EN,23-Jan,1975
"3,971,787", Boyle; John Arnott ,Maidenhead, EN,23-Jan,1975
"3,971,787", Saunders; John Christopher ,Maidenhead," EN ,CA",23-Jan,1975
"3,971,789", Archibald; John Leheup ,Windsor, EN,23-Jan,1975
"3,971,789", Boyle; John Terence Arnott ,Maidenhead, EN,23-Jan,1975
"3,971,789", Saunders; John Christopher ,Maidenhead," EN ,CA",23-Jan,1975
"3,933,829", Archibald; John Leheup ,Windsor, EN,       August 22,1974
"3,933,829", Boyle; John Terence Arnott ,Maidenhead, EN,       August 22,1974
"3,933,829", Saunders; John Christopher ,Maidenhead," EN ,CA",       August 22,1974
"3,992,544", Archibald; John Leheup ,Windsor, EN,       April 15,1975
"3,992,544", Heatherington; Kenneth ,Burnham," EN ,CA",       April 15,1975
"3,931,244", Archibald; John Leheup ,Windsor, EN,       May 13,1974
"3,931,244", Jackson; John Lambert ,Henley-on-Thames," EN ,CA",       May 13,1974
"3,962,258", Archibald; John Leheup ,Windsor, EN,       May 17,1974
"3,962,258", Jackson; John Lambert ,Henley-on-Thames, EN,       May 17,1974
"3,962,258", Bushell; Brian John ,Southampton," EN ,CA",       May 17,1974
"4,076,820", Archibald; John Leheup ,Windsor, EN,       May 13,1976
"4,076,820", Jackson; John Lambert ,Royston," EN ,CA",       May 13,1976
"4,061,641", Archibald; John Leheup ,Windsor, EN,       July 15,1976
"4,061,641", Jackson; John Lambert ,Royston," EN ,CA",       July 15,1976
"4,045,566", Archibald; John Leheup ,Windsor, EN,       April 14,1976
"4,045,566", Jackson; John Lambert ,Royston," EN ,CA",       April 14,1976
"4,038,401", Archibald; John Leheup ,Windsor, EN,       February 11,1976
"4,038,401", Jackson; John Lambert ,Royston," EN ,CA",       February 11,1976
"4,034,098", Archibald; John Leheup ,Windsor, EN,       November 24,1975
"4,034,098", Jackson; John Lambert ,Royston," EN ,CA",       November 24,1975
"3,969,528", Archibald; John Leheup ,Windsor, EN,       April 8,1975
"3,969,528", White; Alan Chapman ,Windsor, EN,       April 8,1975
"3,969,528", Black; Robin Michael ,Porton," EN ,CA",       April 8,1975
"7,258,915", Argoitia; Alberto ,Santa Rosa, CA,       August 14,2003
"7,258,915", Coombs; Paul G.,Santa Rosa, CA,       August 14,2003
"7,258,915", Markantes; Charles T.,Santa Rosa, CA,       August 14,2003
"7,258,915", Kohlmann; Paul T.,Windsor," CA ,CA",       August 14,2003
"6,749,936", Argoitia; Alberto ,Santa Rosa, CA,       December 20,2001
"6,749,936", Kohlmann; Paul T.,Windsor, CA,       December 20,2001
"6,749,936", Witzman; Matthew R.,Rohnert Park, CA,       December 20,2001
"6,749,936", Coombs; Paul G.,Santa Rosa, CA,       December 20,2001
"6,749,936", Markantes; Charles T.,Santa Rosa, CA,       December 20,2001
"6,749,936"," Bradley, Jr.; Richard A.",Santa Rosa," CA ,CA",       December 20,2001
"6,815,065", Argoitia; Alberto ,Santa Rosa, CA,       February 11,2003
"6,815,065", Raksha; Vladimir P.,Santa Rosa, CA,       February 11,2003
"6,815,065", Kohlmann; Paul T.,Windsor," CA ,CA",       February 11,2003
"10,093,425", Army; Donald E.,Enfield, CT,09-Aug,2016
"10,093,425"," Peacos, III; Frederick ",North Scituate," RI ,CA",09-Aug,2016
"9,056,276", Army; Donald E.,Enfield, CT,17-Oct,2011
"9,056,276"," Peacos, III; Frederick ",North Scituate," RI ,CA",17-Oct,2011
"9,133,028", Army; Donald E.,Enfield, CT,15-Apr,2013
"9,133,028", Peacos; Frederick ,North Scituate," RI ,CA",15-Apr,2013
"5,276,070", Arroyo; Nestor A.,East Windsor,CA,       March 31,1992
"4,837,279", Arroyo; Nestor A.,East Windsor,CA,       February 22,1988
"5,227,463", Arsenault; Gilles J.,Courtright," CA ,CA",       June 12,1992
"5,118,716", Arsenault; Gilles J.,Courtright," CA ,CA",       October 5,1990
"5,043,394", Arsenault; Gilles J.,Courtright," CA ,CA",       March 2,1990
"4,925,900", Arsenault; Gilles J.,Courtright," CA ,CA",       September 16,1988
"4,596,469", Artiss; Joseph D.,Windsor, CA,       May 13,1985
"4,596,469", Zak; Bennie ,Southfield," MI ,CA",       May 13,1985
"4,798,799", Artiss; Joseph D.,Windsor, CA,       July 3,1986
"4,798,799", Zak; Bennie ,West Bloomfield, MI,       July 3,1986
"4,798,799", Wimmer; Michael C.,Lansing," MI ,CA",       July 3,1986
"4,614,746", Asato; Goro ,Titusville, NJ,       March 21,1985
"4,614,746", Bentley; Terence J.,East Windsor,CA,       March 21,1985
