number,Assignees,City,Country,date,year
"9,067,947",Universal Display Corporation ,Ewing, NJ,28-Dec,2009
"9,062,238",Universal Display Corporation ,Ewing, NJ,28-Dec,2009
"8,603,645",Universal Display Corporation ,Ewing, NJ,16-Nov,2010
"7,129,302","Univation Technologies, LLC ",Houston, TX,       July 13,2005
"6,995,109","Univation Technologies, LLC ",Houston, TX,       October 3,2002
"6,964,937","Univation Technologies, LLC ",Houston, TX,       May 29,2003
"6,740,617","Univation Technologies, LLC ",Houston, TX,       June 3,2002
"6,713,425","Univation Technologies, LLC ",Houston, TX,       June 3,2002
"10,024,173",United Techologies Corporation ,Farmington, CT,05-Nov,2015
"5,320,718",United Technologies Corporation ,Windsor Locks, CT,       August 7,1990
"5,416,002",United Technologies Corporation ,Windsor Locks, CT,       December 3,1992
"9,212,560",UNITED TECHNOLOGIES CORPORATION ,Hartford, CT,30-Jun,2011
"9,103,214",UNITED TECHNOLOGIES CORPORATION ,Hartford, CT,23-Aug,2011
"4,850,859",United Technologies Corporation ,Hartford, CT,       September 30,1988
"4,452,676",United Technologies Corporation ,Hartford, CT,       April 30,1982
"4,410,504",United Technologies Corporation ,Hartford, CT,       April 30,1982
"4,259,302",United Technologies Corporation ,Hartford, CT,       November 8,1979
"4,120,787",United Technologies Corporation ,Hartford, CT,       December 29,1976
"4,098,587",United Technologies Corporation ,Hartford, CT,       August 25,1977
"5,460,734",United Technologies Corporation ,Hartford, CT,       October 31,1994
"5,362,405",United Technologies Corporation ,Hartford, CT,       April 19,1993
"5,234,584",United Technologies Corporation ,Hartford, CT,       February 4,1991
"4,316,774",United Technologies Corporation ,Hartford, CT,       July 5,1979
"6,885,785",United Technologies Corporation ,Hartford, CT,       July 19,2004
"5,593,737",United Technologies Corporation ,Hartford, CT,       May 23,1995
"4,960,451",United Technologies Corporation ,Hartford, CT,       August 21,1989
"4,949,921",United Technologies Corporation ,Hartford, CT,       August 17,1989
"4,913,953",United Technologies Corporation ,Hartford, CT,       December 23,1988
"4,857,093",United Technologies Corporation ,Hartford, CT,       November 23,1987
"4,780,432",United Technologies Corporation ,Hartford, CT,       September 2,1986
"7,666,512",United Technologies Corporation ,Hartford, CT,       August 9,2004
"7,422,671",United Technologies Corporation ,Hartford, CT,       August 9,2004
"7,063,894",United Technologies Corporation ,Hartford, CT,       May 22,2003
"7,060,360",United Technologies Corporation ,Hartford, CT,       May 22,2003
"6,902,836",United Technologies Corporation ,Hartford, CT,       May 22,2003
"6,617,037",United Technologies Corporation ,Hartford, CT,       December 19,2001
"6,617,036",United Technologies Corporation ,Hartford, CT,       December 19,2001
"6,589,677",United Technologies Corporation ,Hartford, CT,       December 19,2001
"6,451,416",United Technologies Corporation ,Hartford, CT,       November 19,1999
"5,470,222",United Technologies Corporation ,Hartford, CT,       June 21,1993
"5,334,462",United Technologies Corporation ,Hartford, CT,       June 11,1993
"4,571,317",United Technologies Corporation ,Hartford, CT,       August 23,1984
"4,350,672",United Technologies Corporation ,Hartford, CT,       December 23,1977
"5,689,008",United Technologies Corporation ,Hartford, CT,       February 2,1996
"5,362,373",United Technologies Corporation ,Hartford, CT,       July 13,1993
"5,128,003",United Technologies Corporation ,Hartford, CT,       October 17,1991
"5,477,918",United Technologies Corporation ,Hartford, CT,       January 11,1995
"5,421,865",United Technologies Corporation ,Hartford, CT,       October 29,1993
"4,601,945",United Technologies Corporation ,Hartford, CT,       January 28,1985
"4,524,176",United Technologies Corporation ,Hartford, CT,       March 21,1984
"4,480,088",United Technologies Corporation ,Hartford, CT,       October 20,1983
"4,197,339",United Technologies Corporation ,Hartford, CT,       December 27,1977
"7,087,565",United Technologies Corporation ,Hartford, CT,       February 3,2004
"4,868,232",United Technologies Corporation ,Hartford, CT,       October 21,1987
"7,153,343",United Technologies Corporation ,Hartford, CT,       March 24,2004
"4,439,241",United Technologies Corporation ,Hartford, CT,       March 1,1982
"5,122,464",United Technologies Corporation ,Hartford, CT,       June 27,1990
"8,642,164",United Technologies Corporation ,Hartford, CT,15-Sep,2011
"8,673,511",United Technologies Corporation ,Hartford, CT,17-Nov,2008
"9,260,629",United Technologies Corporation ,Hartford, CT,02-Sep,2010
"9,249,331",United Technologies Corporation ,Hartford, CT,02-Sep,2010
"8,828,540",United Technologies Corporation ,Hartford, CT,16-Jun,2006
"8,939,728",United Technologies Corporation ,Hartford, CT,30-Jun,2011
"9,376,916",United Technologies Corporation ,Hartford, CT,05-Jun,2012
"9,012,377",United Technologies Corporation ,Hartford, CT,14-Feb,2012
"6,696,144",United Technologies Corporation ,Harftord, CT,       April 24,2002
"9,970,310",UNITED TECHNOLOGIES CORPORATION ,Farmington, CT,21-Jan,2016
"10,030,532",UNITED TECHNOLOGIES CORPORATION ,Farmington, CT,22-Apr,2015
"9,822,264",UNITED TECHNOLOGIES CORPORATION ,Farmington, CT,01-Jul,2014
"9,789,048",UNITED TECHNOLOGIES CORPORATION ,Farmington, CT,01-Jul,2014
"10,214,824",UNITED TECHNOLOGIES CORPORATION ,Farmington, CT,09-Jul,2014
"10,138,561",UNITED TECHNOLOGIES CORPORATION ,Farmington, CT,06-Jun,2016
"10,106,712",UNITED TECHNOLOGIES CORPORATION ,Farmington, CT,12-Nov,2014
"10,094,220",UNITED TECHNOLOGIES CORPORATION ,Farmington, CT,12-Nov,2014
"9,403,102",United Technologies Corporation ,Farmington, CT,13-Feb,2012
"9,505,145",United Technologies Corporation ,Farmington, CT,27-Oct,2014
"9,884,939",United Technologies Corporation ,Farmington, CT,23-Oct,2015
"10,189,219",United Technologies Corporation ,Farmington, CT,29-Sep,2014
"10,081,732",United Technologies Corporation ,Farmington, CT,02-Dec,2013
"10,023,963",United Technologies Corporation ,Farmington, CT,06-Jun,2016
"10,005,919",United Technologies Corporation ,Farmington, CT,06-Jun,2016
"5,698,488",United Technologies Corp.,Hartford, CT,       June 7,1995
"4,129,542",Uniroyal Ltd.,Montreal, CA,       February 5,1976
"3,971,753",Union Carbide Corporation ,New York, NY,       December 13,1973
"4,897,199",Union Carbide Chemicals and Plastics Company Inc.,Danbury, CT,       July 5,1989
"5,744,556",Union Carbide Chemicals & Plastics Technology Corporation ,Danbury, CT,       September 13,1996
"5,589,539",Union Carbide Chemicals & Plastics Technology Corporation ,Danbury, CT,       November 23,1994
"5,405,901",Union Carbide Chemicals & Plastics Technology Corporation ,Danbury, CT,       July 6,1994
"5,204,032",Union Carbide Chemicals & Plastics Technology Corporation ,Danbury, CT,       June 15,1989
"5,073,300",Union Camp Corporation ,Wayne, NJ,       April 2,1990
"4,753,998",Union Camp Corporation ,Wayne, NJ,       June 30,1986
"4,709,084",Union Camp Corporation ,Wayne, NJ,       June 5,1986
"4,694,059",Union Camp Corporation ,Wayne, NJ,       October 16,1986
"4,694,047",Union Camp Corporation ,Wayne, NJ,       November 6,1986
"4,690,984",Union Camp Corporation ,Wayne, NJ,       November 25,1986
"4,690,983",Union Camp Corporation ,Wayne, NJ,       November 5,1986
"4,690,982",Union Camp Corporation ,Wayne, NJ,       November 5,1986
"4,690,979",Union Camp Corporation ,Wayne, NJ,       November 5,1986
"4,650,822",Union Camp Corporation ,Wayne, NJ,       February 22,1985
"4,634,729",Union Camp Corporation ,Wayne, NJ,       September 23,1985
"4,569,987",Union Camp Corporation ,Wayne, NJ,       September 4,1984
"4,569,985",Union Camp Corporation ,Wayne, NJ,       August 2,1985
"4,515,939",Union Camp Corporation ,Wayne, NJ,       May 31,1983
"4,485,233",Union Camp Corporation ,Wayne, NJ,       February 27,1984
"4,747,728",Union Camp Corporation ,Wayne, NJ,       June 30,1986
"4,946,626",Union Camp Corporation ,Wayne, NJ,       June 14,1988
"5,457,239",Union Camp Corporation ,Priceton, NJ,       May 25,1994
"7,015,179",Unilever Home & Personal Care USA ,Greenwich, CT,       December 22,2004
"9,127,124","TYRX, INC.",Monmouth Junction, NJ,19-Sep,2014
"9,233,192","TYRX, INC.",Monmouth Junction, NJ,26-Nov,2013
"8,153,837","TYRX, Inc.",Monmouth Junction, NJ,       November 3,2006
"8,952,106","TYRX, Inc.",Monmouth Junction, NJ,13-Feb,2013
"8,927,659","TYRX, Inc.",Monmouth Junction, NJ,22-Apr,2013
"8,445,603","TYRX, Inc.",Monmouth Junction, NJ,22-Sep,2009
"8,629,233","TYRX, Inc.",Monmouth Junction, NJ,18-Dec,2009
"8,471,054","Tyrx, Inc.",Monmouth Junction, NJ,07-Mar,2012
"6,372,826","Turbine Controls, Inc.",Bloomfield, CT,       December 6,1995
"6,521,110",Trustees of Columbia University in the City of New York ,New York, NY,       February 9,1999
"6,521,110","Pioneer Hi-Bred International, Inc.",Johnston, IA,       February 9,1999
"9,897,680",TRUE PHANTOM SOLUTIONS INC.,Windsor, CA,27-May,2016
"10,166,694",Tricoya Technologies Ltd.,Windsor, GB,17-Jul,2015
"8,257,658","Tribute Creations, LLC ",Windsor Locks, CT,       May 11,2011
"5,252,116","TRG International Waste Management, Ltd.",Windsor, CA,       September 3,1991
"9,884,771",TRC ENVIRONMENTAL CORPORATION ,North Windsor, CT,14-Feb,2013
"7,998,582",Toda Kogyo Europe GmbH ,Dusseldorf, DE,       October 27,2009
"7,622,190",Toda Kogyo Europe GmbH ,Dusseldorf, DE,       September 12,2005
"9,393,762",TITAN WOOD LIMITED ,Windsor, GB,12-Jul,2013
"9,453,302",Titan Wood Limited ,Windsor, GB,08-Jun,2012
"8,512,815",Titan Wood Limited ,Windsor, GB,30-Jan,2009
"4,507,188",Thiokol Corporation ,Chicago, IL,       December 21,1983
"7,122,057","Therics, LLC ",Akron, OH,       April 12,2002
"4,482,661",The Valspar Corporation ,Minneapolis, MN,       July 14,1983
"5,612,097","The University of Western Ontario, in trust for Surface Science Western ",London, CA,       June 2,1995
"5,612,097",The University of Western Ontario ,London, CA,       June 2,1995
"5,612,097",The Institute For Chemical Science and Technology ,Sarnia, CA,       June 2,1995
"7,614,349",The University of Western Ontario ,London," ON, CA",       October 4,2004
"5,283,086",The University of Western Ontario ,London, CA,       December 23,1992
"5,283,086",I.C.S.T.,Sarnia, CA,       December 23,1992
"5,283,086",Fujitsu Limited ,Kawasaki, JP,       December 23,1992
"5,846,213",The University of Western Ontario ,London, CA,       June 16,1997
"6,916,554",The University of Southern California ,Los Angeles, CA,       November 6,2002
"6,916,554",Universal Display Corporation ,Ewing, NJ,       November 6,2002
"7,002,044",The University of Connecticut ,Storrs, CT,       August 15,2003
"7,029,722",The University of Connecticut ,Storrs, CT,       November 13,2001
"6,366,794",The University of Connecticut ,Storrs, CT,       November 19,1999
"8,748,530",The University of Akron ,Akron, OH,11-Jul,2013
"8,748,530","Lanxess, Inc.",Sarnia," Ontario, unknown",11-Jul,2013
"8,258,230",The University of Akron ,Akron, OH,       August 31,2007
"8,258,230","Lanxess, Inc.",CA,CA,       August 31,2007
"4,652,411",The United States of America as represented by the United States ,Washington, DC,       May 23,1984
"9,938,291",THE TRUSTESS OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK ,New York, NY,13-Mar,2014
"8,603,798",The Trustees of Princeton University ,Princeton, NJ,01-Nov,2007
"9,453,193",The Trustees of Princeton University ,Princeton, NJ,06-Feb,2014
"10,072,016",THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK ,New York, NY,02-Oct,2017
"9,926,271",THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK ,New York, NY,13-Mar,2017
"9,944,644",THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK ,New York, NY,13-Mar,2014
"9,637,450",THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK ,New York, NY,13-Mar,2014
"9,434,727",THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK ,New York, NY,29-Apr,2015
"9,777,010",THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK ,New York, NY,01-Sep,2016
"4,760,159",The Standard Oil Company ,Cleveland, OH,       March 13,1987
"4,413,155",The Standard Oil Co.,Cleveland, OH,       March 30,1981
"6,518,539",The Regents of the University of California ,Oakland, CA,       September 7,2001
"4,490,226",The Regents of The University of California ,CA,CA,       August 30,1982
"6,506,945",The Procter & Gamble Company ,Cincinnati, OH,       December 8,2000
"6,436,885",The Procter & Gamble Company ,Cincinnati, OH,       December 15,2000
"10,138,441",The Procter & Gamble Company ,Cincinnati, OH,07-Jun,2016
"5,364,010","The Morgan Crucible Company, plc ",Windsor, GB2,       September 11,1992
"5,821,183","The Morgan Crucible Company, plc ",Windsor, GB,       January 7,1997
"5,968,653","The Morgan Crucible Company, plc ",Windsor, GB,       January 11,1996
"5,955,389","The Morgan Crucible Company, p/c ",Windsor, GB,       September 21,1995
"5,385,791",The Morgan Crucible Company plc ,Windsor,Windsor,04-Aug,1992
"5,466,736",The Morgan Crucible Company PLC ,Windsor, GB2,       June 16,1994
"5,811,360",The Morgan Crucible Company plc ,Windsor, GB2,       March 15,1994
"5,656,563",The Morgan Crucible Company plc ,Windsor, GB2,       June 2,1995
"5,120,688",The Morgan Crucible Company plc ,Windsor, GB2,29-May,1990
"5,120,687",The Morgan Crucible Company plc ,Windsor, GB2,03-Jul,1989
"5,804,294",The Morgan Crucible Company plc ,Windsor, GB2,       August 2,1995
"7,259,118",The Morgan Crucible Company PLC ,Windsor, GB,       April 28,2004
"5,707,567",The Morgan Crucible Company PLC ,Windsor, GB,       June 2,1995
"7,153,796",The Morgan Crucible Company plc ,Windsor, GB,       January 19,2005
"6,987,076",The Morgan Crucible Company plc ,Windsor, GB,       September 14,1999
"8,163,377",The Morgan Crucible Company PLC ,Windsor," Berkshire, GB",       November 8,2006
"8,088,701",The Morgan Crucible Company PLC ,Windsor," Berkshire, GB",       November 23,2007
"7,651,965",The Morgan Crucible Company PLC ,Windsor," Berkshire, GB",       November 20,2008
"6,143,716","The Liposome Company, Inc.",Princeton, NJ,       October 7,1998
"6,087,325","The Liposome Company, Inc.",Princeton, NJ,       October 15,1997
"9,802,984",THE JOHNS HOPKINS UNIVERSITY ,Baltimore, MD,09-Jun,2014
"4,101,330",The J. M.,Bloomfield, CT,       September 1,1976
"4,504,604",The Goodyear Tire & Rubber Company ,Akron, OH,       November 25,1983
"4,238,383",The Goodyear Tire & Rubber Company ,Akron, OH,       October 5,1978
"4,104,205",The Goodyear Tire & Rubber Company ,Akron, OH,       January 6,1976
"5,827,994",The Ensign-Bickford Company ,Simsbury, CT,       July 11,1996
"5,708,228",The Ensign-Bickford Company ,Simsbury, CT,       January 11,1996
"5,031,538",The Ensign-Bickford Company ,Simsbury, CT,       February 7,1990
"5,879,768",The Dow Chemical Company ,N/A,N/A,       October 6,1995
"4,137,296",The Dow Chemical Company ,Midland, MI,       November 2,1976
"4,003,816",The Dow Chemical Company ,Midland, MI,       June 3,1975
"4,962,237",The Dow Chemical Company ,Midland, MI,       January 2,1990
"4,780,557",The Dow Chemical Company ,Midland, MI,       August 26,1987
"6,376,625",The Dow Chemical Company ,Midland, MI,       August 25,1999
"6,117,465",The Dow Chemical Company ,Midland, MI,       March 26,1998
"5,942,579",The Dow Chemical Company ,Midland, MI,       August 12,1998
"5,674,944",The Dow Chemical Company ,Midland, MI,       June 7,1995
"5,580,914",The Dow Chemical Company ,Midland, MI,       June 7,1995
"5,525,659",The Dow Chemical Company ,Midland, MI,       September 8,1993
