Label,City,Country,Patent Category,Regions,Types of Actors,Country,Degree_normalized,Degree,Clossness_normalized,Closeness,Betweenness,Betweenness_normalized
The Dow Chemical Company ,Midland,MI,Assignee,external,business,outside,0.007380074,38,0.00019716,3.83E-08,2052,0.000154827
Colorado State University Research Foundation ,Fort Collins,CO,Assignee,external,university,outside,0.007185861,37,0.000196117,3.81E-08,1011.936258,7.64E-05
Sanofi ,Paris,FR,Assignee,external,business,outside,0.007185861,37,0.00019685,3.82E-08,1889.505165,0.000142566
LANXESS International S.A.,Granges-Paccot,CH,Assignee,external,business,outside,0.006991649,36,0.000454458,8.83E-08,42661.14271,0.003218852
Dendreon Corporation ,San Diego,CA,Assignee,external,business,within,0.006797436,35,0.000454737,8.83E-08,957.0719411,7.22E-05
"PTC Therapeutics, Inc.",South Plainfield,NJ,Assignee,external,business,outside,0.006797436,35,0.00019497,3.79E-08,210,1.58E-05
"The Morgan Crucible Company, p/c ",Windsor,GB,Assignee,internal,business,outside,0.006603224,34,0.000195198,3.79E-08,350,2.64E-05
ELEMENTIS SPECIALITIES INC.,Windsor,NJ,Assignee,internal,business,outside,0.006409011,33,0.000195122,3.79E-08,300,2.26E-05
Colgate Palmolive Company ,New York,NY,Assignee,external,business,outside,0.006214799,32,0.000195503,3.80E-08,487.5,3.68E-05
"Cephalon, Inc.",Frazier,PA,Assignee,external,business,outside,0.005632162,29,0.000454799,8.83E-08,158234.3374,0.011939037
The Procter & Gamble Company ,Cincinnati,OH,Assignee,external,business,outside,0.005632162,29,0.00045393,8.82E-08,82362,0.006214346
"Medical Diagnostic Laboratories, LLC ",Hamilton,NJ,Assignee,external,business,outside,0.005437949,28,0.00019497,3.79E-08,210,1.58E-05
The Carborundum Company ,Niagara Falls,NY,Assignee,external,business,outside,0.005437949,28,0.000196193,3.81E-08,194.6666667,1.47E-05
Universal Display Corporation ,Ewing,NJ,Assignee,external,business,outside,0.005437949,28,0.000454606,8.83E-08,61828.5,0.00466506
"Emhart Industries, Inc.",Towson,MD,Assignee,external,business,outside,0.005243737,27,0.000196001,3.81E-08,973.1666667,7.34E-05
LANXESS Deutschland GmbH ,Leverkusen,DE,Assignee,external,business,outside,0.005243737,27,0.000454458,8.83E-08,28733.80996,0.002168012
UTC Power Corporation ,Windsor,CT,Assignee,internal,business,outside,0.005243737,27,0.000454486,8.83E-08,40289.73231,0.003039926
i-Stat Corporation ,Windsor,NJ,Assignee,internal,business,outside,0.005049524,26,0.000195084,3.79E-08,264.5,2.00E-05
Viavi Solutions Inc.,Milpitas,CA,Assignee,external,business,within,0.005049524,26,0.00019535,3.79E-08,212.035473,1.60E-05
Fiberglas Canada Inc.,Point Edward,CA,Assignee,external,business,within,0.004661099,24,0.000454598,8.83E-08,50099,0.003780051
Janssen Pharmaceutica NV ,Beerse,BE,Assignee,external,business,outside,0.004661099,24,0.000454725,8.83E-08,111403.6667,0.008405587
BASF Corporation ,Florham Park,NJ,Assignee,external,business,outside,0.004466887,23,0.000454858,8.83E-08,617645.2625,0.046602335
"Flex Product, Inc.",Santa Rosa,CA,Assignee,external,business,within,0.004466887,23,0.00019535,3.79E-08,239.8696386,1.81E-05
Ligand Pharmaceuticals Incorporated ,San Diego,CA,Assignee,external,business,within,0.004272674,22,0.000454835,8.83E-08,24679.98868,0.001862145
N.V.,Oss,NL,Assignee,external,business,outside,0.004272674,22,0.000454869,8.83E-08,43391.87784,0.003273987
Heska Corporation ,Fort Collins,CO,Assignee,external,business,outside,0.004078462,21,0.000196116,3.81E-08,650,4.90E-05
Hoffmann-La Roche Inc.,Nutley,NJ,Assignee,external,business,outside,0.004078462,21,0.000454608,8.83E-08,61324.3,0.004627018
"N L Industries, Inc.",New York,NY,Assignee,external,business,outside,0.004078462,21,0.000195084,3.79E-08,261.5,1.97E-05
American Home Products Corp.,Madison,NJ,Assignee,external,business,outside,0.003884249,20,0.000455013,8.84E-08,2247741.23,0.169595716
"Amicus Therapeutics, Inc.",Cranbury,NJ,Assignee,external,business,outside,0.003884249,20,0.000194856,3.78E-08,127.1666667,9.59E-06
General Electric Co.,Windsor,NJ,Assignee,internal,business,outside,0.003884249,20,0.000196849,3.82E-08,878.5,6.63E-05
Schering Plough Corporation ,Kenilworth,NJ,Assignee,external,business,outside,0.003884249,20,0.000454747,8.83E-08,6497.514153,0.000490248
Bayer CropScience AG ,Monheim,DE,Assignee,external,business,outside,0.003690037,19,0.000454604,8.83E-08,3031.5,0.000228732
"FloDesign Sonics, Inc ",Wilbraham,MA,Assignee,external,business,outside,0.003690037,19,0.000194553,3.78E-08,45,3.40E-06
Hamilton Sundstrand Corporation ,Windsor,CT,Assignee,internal,business,outside,0.003690037,19,0.00045448,8.83E-08,37695.57797,0.002844192
Warner-Lambert Company ,Morris Plains,NJ,Assignee,external,business,outside,0.003690037,19,0.000194856,3.78E-08,153,1.15E-05
Akzo Nobel N. V.,Arnhem,NL,Assignee,external,business,outside,0.003495824,18,0.00019459,3.78E-08,50.64285714,3.82E-06
CiDRA Corporate Services Inc.,Wallingford,CT,Assignee,external,business,outside,0.003495824,18,0.000194477,3.78E-08,28,2.11E-06
"Doosan Fuel Cell America, Inc.",Atlanta,GA,Assignee,external,business,outside,0.003495824,18,0.000454483,8.83E-08,18829.29296,0.001420701
MSD R&D ,Beijing,CN,Assignee,external,business,outside,0.003495824,18,0.000454737,8.83E-08,242.7013383,1.83E-05
Dow Corning Corporation ,Midland,MI,Assignee,external,business,outside,0.003301612,17,0.000195503,3.80E-08,144.5,1.09E-05
"HAMILTON SUNDSTRAND SPACE SYSTEM INTERNATIONAL, INC.",Windsor,CT,Assignee,internal,business,outside,0.003301612,17,0.000454475,8.83E-08,37154.16926,0.002803342
MSD OSS B.V.,Oss,NL,Assignee,external,business,outside,0.003301612,17,0.000454868,8.83E-08,11486.88833,0.000866704
Novartis AG ,Basel,CH,Assignee,external,business,outside,0.003301612,17,0.000194818,3.78E-08,136,1.03E-05
"Solidia Technologies, Inc.",Piscataway,NJ,Assignee,external,business,outside,0.003301612,17,0.000196193,3.81E-08,500.375,3.78E-05
ARLANXEO Deutschland GmbH ,Dormagen,DE,Assignee,external,business,outside,0.003107399,16,0.000454454,8.83E-08,23158.52425,0.001747348
BASF Aktiengesellschaft ,Ludwigshafen,DE,Assignee,external,business,outside,0.003107399,16,0.000454979,8.84E-08,1819332.957,0.137271618
Dexter Corporation ,Windsor,CT,Assignee,internal,business,outside,0.003107399,16,0.000196078,3.81E-08,489,3.69E-05
"Flexus Biosciences, Inc.",Princeton,NJ,Assignee,external,business,outside,0.003107399,16,0.000454606,8.83E-08,35397,0.002670761
Johnson & Johnson Baby Products Company ,New Brunswick,NJ,Assignee,external,business,outside,0.003107399,16,0.000194742,3.78E-08,105,7.92E-06
Polysar Rubber Corporation ,Sarnia,CA,Assignee,internal,business,within,0.003107399,16,0.000454616,8.83E-08,27839.82489,0.00210056
RCA Corporation ,New York,NY,Assignee,external,business,outside,0.003107399,16,0.000194894,3.79E-08,165,1.24E-05
Reckitt Benckiser Inc.,Parsippany,NJ,Assignee,external,business,outside,0.003107399,16,0.000194818,3.78E-08,109,8.22E-06
Rhone Poulenc Inc.,New Brunswick,NJ,Assignee,external,business,outside,0.003107399,16,0.000454379,8.82E-08,11816.13333,0.000891546
The University of Western Ontario ,London,CA,Assignee,external,university,within,0.00233055,16,0.000454734,8.83E-08,265994.55,0.02006972
ALSTOM Technology Ltd ,Baden,CH,Assignee,external,business,outside,0.002913187,15,0.000198215,3.85E-08,1183.166667,8.93E-05
Engelhard Corporation ,Iselin,NJ,Assignee,external,business,outside,0.002913187,15,0.000454623,8.83E-08,41279,0.003114567
"Pharmaceopeia, Inc.",Cranbury,NJ,Assignee,external,business,outside,0.002913187,15,0.000454789,8.83E-08,236.1737397,1.78E-05
Union Carbide Chemicals and Plastics Company Inc.,Danbury,CT,Assignee,external,business,outside,0.002913187,15,0.00019497,3.79E-08,189,1.43E-05
Henkel Corporation ,Rocky Hill,CT,Assignee,external,business,outside,0.002718975,14,0.000195771,3.80E-08,517.5,3.90E-05
Loctite Corporation ,Rocky Hill,CT,Assignee,external,business,outside,0.002718975,14,0.000195771,3.80E-08,437.5,3.30E-05
Pfizer Inc.,New York,NY,Assignee,external,business,outside,0.002718975,14,0.000454777,8.83E-08,29510.37143,0.002226605
Rhodia Chimie ,Boulogne Billancourt,FR,Assignee,external,business,outside,0.002718975,14,0.000454162,8.82E-08,134424,0.010142508
"Therics, LLC ",Akron,OH,Assignee,external,business,outside,0.002718975,14,0.000194704,3.78E-08,91,6.87E-06
"Tyrx, Inc.",Monmouth Junction,NJ,Assignee,external,business,outside,0.002718975,14,0.000196193,3.81E-08,202.8571429,1.53E-05
Wyeth Holdings Corporation ,Madison,NJ,Assignee,external,business,outside,0.002718975,14,0.000454777,8.83E-08,10781.57542,0.000813487
 Lesieur; Roger R.,Enfield,CT,Innovator,external,individual,outside,0.002524762,13,0.000454375,8.82E-08,5064.151016,0.000382098
"Achillion Pharmaceuticals, Inc.",New Haven,CT,Assignee,external,business,outside,0.002524762,13,0.000194666,3.78E-08,78,5.89E-06
"Caschem, Inc.",Bayonne,NJ,Assignee,external,business,outside,0.002524762,13,0.000194515,3.78E-08,35,2.64E-06
"David Sarnoff Research Center, Inc.",Princeton,NJ,Assignee,external,business,outside,0.002524762,13,0.000196849,3.82E-08,1191.563492,8.99E-05
Eastman Kodak Company ,Rochester,NY,Assignee,external,business,outside,0.002524762,13,0.000194932,3.79E-08,154.5,1.17E-05
ExxonMobil Upstream Research Company ,Houston,TX,Assignee,external,business,outside,0.002524762,13,0.000454477,8.83E-08,32463.72552,0.002449441
Hydrocarbon Technologies ,Lawrenceville,NJ,Assignee,external,business,outside,0.002524762,13,0.000195084,3.79E-08,192.1714286,1.45E-05
JDS Uniphase Corporation ,Milpitas,CA,Assignee,external,business,within,0.002524762,13,0.00019535,3.79E-08,129.0948884,9.74E-06
Queen's University at Kingston ,Kingston,CA,Assignee,external,university,within,0.002524762,13,0.000454455,8.83E-08,14810.95783,0.001117511
"Medimmune, LLC ",Gaithersburg,MD,Assignee,external,business,outside,0.00233055,12,0.000194666,3.78E-08,64,4.83E-06
"Millendo Therapeutics, Inc ",Ann Arbor,MI,Assignee,external,business,outside,0.00233055,12,0.000194401,3.78E-08,15,1.13E-06
"MindImmune Therapeutics, Inc.",Kingston,RI,Assignee,external,business,outside,0.00233055,12,0.00045472,8.83E-08,11312,0.000853509
YALE UNIVERSITY ,New Haven,CT,Assignee,external,university,outside,0.00233055,12,0.000454605,8.83E-08,34.83333333,2.63E-06
"AT&T Technologies, Inc.",New York,NY,Assignee,external,business,outside,0.002136337,11,0.000454139,8.82E-08,32444.86667,0.002448018
Celltech Therapeutics Limited ,Slough,GB,Assignee,external,business,outside,0.002136337,11,0.000194477,3.78E-08,28,2.11E-06
Memtec Limited ,Windsor,AU,Assignee,internal,business,outside,0.002136337,11,0.00019459,3.78E-08,55,4.15E-06
Nufern ,East Granby,CT,Assignee,external,business,outside,0.002136337,11,0.00019459,3.78E-08,55,4.15E-06
Sami Labs Limited ,Bangalore,IN,Assignee,external,business,outside,0.002136337,11,0.000194477,3.78E-08,28,2.11E-06
The Regents of the University of California ,Oakland,CA,Assignee,external,university,within,0.002136337,11,0.00019459,3.78E-08,55,4.15E-06
Union Camp Corporation ,Wayne,NJ,Assignee,external,business,outside,0.002136337,11,0.00045423,8.82E-08,29505,0.0022262
Wayne State University ,Detroit,MI,Assignee,external,university,outside,0.002136337,11,0.000195008,3.79E-08,166.0833333,1.25E-05
 Sederquist; Richard A.,Newington,CT,Innovator,external,individual,outside,0.001942125,10,0.000454599,8.83E-08,92407.56692,0.006972301
"3-Dimensional Pharmaceuticals, Inc.",Exton,PA,Assignee,external,business,outside,0.001942125,10,0.00045449,8.83E-08,23615.33333,0.001781815
Emisphere Technologies Inc.,Roseland,NJ,Assignee,external,business,outside,0.001942125,10,0.000194515,3.78E-08,36,2.72E-06
GreenField Specialty Alcohols Inc.,Toronto,CA,Assignee,external,business,within,0.001942125,10,0.00019459,3.78E-08,45.66666667,3.45E-06
Hach Company ,Loveland,CO,Assignee,external,business,outside,0.001942125,10,0.000194553,3.78E-08,45,3.40E-06
MERIAL INC.,Duluth,GA,Assignee,external,business,outside,0.001942125,10,0.000194363,3.77E-08,10,7.55E-07
Merk Sharp & Dohme Corp.,Rahway,NJ,Assignee,external,business,outside,0.001942125,10,0.00045472,8.83E-08,17717.03333,0.001336779
"SOLIX ALGREDIENTS, INC.",Fort Collins,CO,Assignee,external,business,outside,0.001942125,10,0.000196116,3.81E-08,17.82844828,1.35E-06
"Solix Biosystems, Inc.",Fort Collins,CO,Assignee,external,business,outside,0.001942125,10,0.000196116,3.81E-08,19.23529412,1.45E-06
University of Windsor ,Windsor,CA,Assignee,internal,university,within,0.001942125,10,0.00019459,3.78E-08,50.5,3.81E-06
 Ho; Koc-Kan ,Salt Lake City,UT,Innovator,external,individual,outside,0.001747912,9,0.000454953,8.84E-08,289708.4104,0.021858969
ARLANXEO Switzerland S.A.,Granges-Paccot,CH,Assignee,external,business,outside,0.001747912,9,0.000454455,8.83E-08,2061.191561,0.00015552
Aventis Pharmaceuticals Inc.,Bridgewater,NJ,Assignee,external,business,outside,0.001747912,9,0.000196849,3.82E-08,400.5,3.02E-05
"Boehringer Ingelheim Pharmaceuticals, Inc.",Ridgefield,CT,Assignee,external,business,outside,0.001747912,9,0.00045449,8.83E-08,23612,0.001781564
Carrier Corporation ,Syracuse,NY,Assignee,external,business,outside,0.001747912,9,0.000454479,8.83E-08,21744.48475,0.001640657
"Cognis, Inc.",Santa Ross,CA,Assignee,external,business,within,0.001747912,9,0.000195771,3.80E-08,163,1.23E-05
Emhart Glass S.A.,Cham,CH,Assignee,external,business,outside,0.001747912,9,0.000196001,3.81E-08,323.6666667,2.44E-05
Firmenich SA ,Geneva,CH,Assignee,external,business,outside,0.001747912,9,0.000194666,3.78E-08,68,5.13E-06
Hamilton Sunstrand Corporation ,Windsor,CT,Assignee,internal,business,outside,0.001747912,9,0.00045448,8.83E-08,13200.39913,0.000995991
"Kemeta, LLC ",Mesa,AZ,Assignee,external,business,outside,0.001747912,9,0.00019459,3.78E-08,34.5,2.60E-06
Reckitt & Colman Inc.,Wayne,NJ,Assignee,external,business,outside,0.001747912,9,0.000194818,3.78E-08,18,1.36E-06
Rhodia Rare Earths Inc.,Shelton,CT,Assignee,external,business,outside,0.001747912,9,0.000194439,3.78E-08,21,1.58E-06
"Soladigm, Inc.",Milpitas,CA,Assignee,external,business,within,0.001747912,9,0.000194553,3.78E-08,27.5,2.07E-06
Tersano Inc.,Windsor,CA,Assignee,internal,business,within,0.001747912,9,0.000194515,3.78E-08,36,2.72E-06
The Ensign-Bickford Company ,Simsbury,CT,Assignee,external,business,outside,0.001747912,9,0.000194515,3.78E-08,36,2.72E-06
The University of Connecticut ,Storrs,CT,Assignee,external,university,outside,0.001747912,9,0.000195084,3.79E-08,144,1.09E-05
Toda Kogyo Europe GmbH ,Dusseldorf,DE,Assignee,external,business,outside,0.001747912,9,0.000194515,3.78E-08,36,2.72E-06
"Western Electric Co., Inc.",New York,NY,Assignee,external,business,outside,0.001747912,9,0.000454374,8.82E-08,58832,0.00443897
WESTERN NEW ENGLAND UNIVERSITY ,Springfield,MA,Assignee,external,university,outside,0.001747912,9,0.000194515,3.78E-08,36,2.72E-06
 Lovegrove; John ,Sarnia,CA,Innovator,internal,individual,within,0.0015537,8,0.00045457,8.83E-08,36631.26776,0.002763888
 Resendes; Rui ,Sarnia,CA,Innovator,internal,individual,within,0.0015537,8,0.000454573,8.83E-08,20955.76804,0.001581147
Abb Lummus Global Inc.,Bloomfield,NJ,Assignee,external,business,outside,0.0015537,8,0.000454622,8.83E-08,17715,0.001336625
"AGIOS PHARMACEUTICALS, INC ",Cambridge,MA,Assignee,external,business,outside,0.0015537,8,0.000454731,8.83E-08,19941.69629,0.001504633
Audi AG ,Ingolstadt,DE,Assignee,external,business,outside,0.0015537,8,0.000454473,8.83E-08,6883.333333,0.000519359
"BIOWA, Inc.",Princeton,NJ,Assignee,external,business,outside,0.0015537,8,0.000194666,3.78E-08,4,3.02E-07
"Daewoo Electronics Co., Ltd.",Seoul,KR,Assignee,external,business,outside,0.0015537,8,0.000196849,3.82E-08,15.02222222,1.13E-06
"Hydra Biosciences, Inc.",Cambridge,MA,Assignee,external,business,outside,0.0015537,8,0.000454607,8.83E-08,8228.076738,0.000620822
"ICI Canada, Inc.",Ontario,CA,Assignee,external,business,within,0.0015537,8,0.000194477,3.78E-08,28,2.11E-06
Kodak Polychrome Graphics LLC ,Norwalk,CT,Assignee,external,business,outside,0.0015537,8,0.000194932,3.79E-08,99.5,7.51E-06
"Medtronic Vascular, Inc.",Santa Rosa,CA,Assignee,external,business,within,0.0015537,8,0.000194628,3.78E-08,56,4.23E-06
Rohm and Haas Company ,Philadelphia,PA,Assignee,external,business,outside,0.0015537,8,0.000194477,3.78E-08,28,2.11E-06
Smithkline Beecham Corp.,Philadelphia,PA,Assignee,external,business,outside,0.0015537,8,0.000194515,3.78E-08,31.5,2.38E-06
SOLUTIA INC.,Saint Louis,MO,Assignee,external,business,outside,0.0015537,8,0.000194326,3.77E-08,6,4.53E-07
Sun Chemical Corporation ,Fort Lee,NJ,Assignee,external,business,outside,0.0015537,8,0.000194477,3.78E-08,28,2.11E-06
Texaco Inc.,White Plains,NY,Assignee,external,business,outside,0.0015537,8,0.000194477,3.78E-08,28,2.11E-06
The Board of Trustees of the University of Alabama ,Tuscaloosa,AL,Assignee,external,university,outside,0.0015537,8,0.000454473,8.83E-08,6883.333333,0.000519359
The Goodyear Tire & Rubber Company ,Akron,OH,Assignee,external,business,outside,0.0015537,8,0.000194477,3.78E-08,28,2.11E-06
The Standard Oil Co.,Cleveland,OH,Assignee,external,business,outside,0.0015537,8,0.000194439,3.78E-08,17.13333333,1.29E-06
THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK ,New York,NY,Assignee,external,university,outside,0.0015537,8,0.000454765,8.83E-08,11806.5,0.00089082
Toyota Jidosha Kabushiki Kaisha ,Toyota-Shi,JP,Assignee,external,business,outside,0.0015537,8,0.000454473,8.83E-08,6883.333333,0.000519359
Zeneca Limited ,London,GB,Assignee,external,business,outside,0.0015537,8,0.000194477,3.78E-08,28,2.11E-06
 Corrigan; Thomas J.,Vernon,CT,Innovator,external,individual,outside,0.001359487,7,0.000454369,8.82E-08,0,0
 Guo; Tao ,Dayton,NJ,Innovator,external,individual,outside,0.001359487,7,0.000454864,8.83E-08,59791.05676,0.004511332
 Habeeb; Jacob J.,Westfield,NJ,Innovator,external,individual,outside,0.001359487,7,0.000454594,8.83E-08,30410.6154,0.00229453
 Hanna; Paul K.,Windsor,CA,Innovator,internal,individual,within,0.001359487,7,0.00019459,3.78E-08,4.363636364,3.29E-07
 Keertikar; Kartik M.,Windsor,CA,Innovator,internal,individual,within,0.001359487,7,0.000454853,8.83E-08,3024.525478,0.000228205
 Neagu; Irina ,Belmont,MA,Innovator,external,individual,outside,0.001359487,7,0.000454983,8.84E-08,1083355.626,0.081740936
 Poirier; Marc-Andre ,Sarnia,CA,Innovator,internal,individual,within,0.001359487,7,0.000454594,8.83E-08,30410.6154,0.00229453
 Szydlowski; Donald F.,Ellington,CT,Innovator,external,individual,outside,0.001359487,7,0.000454599,8.83E-08,62840.65604,0.004741429
 Wittenbrink; Robert J.,Baton Rouge,LA,Innovator,external,individual,outside,0.001359487,7,0.000454594,8.83E-08,30410.6154,0.00229453
 Zhang; Yong ,Windsor,CA,Innovator,internal,individual,within,0.001359487,7,0.00045489,8.83E-08,308094.5471,0.023246233
BASF Wyandotte Corporation ,Wyandotte,MI,Assignee,external,business,outside,0.001359487,7,0.000194439,3.78E-08,21,1.58E-06
Cabot Corporation ,Boston,MA,Assignee,external,business,outside,0.001359487,7,0.000194439,3.78E-08,21,1.58E-06
Clack Corporation ,Windsor,WI,Assignee,internal,business,outside,0.001359487,7,0.000194439,3.78E-08,21,1.58E-06
"Cubist Pharmaceuticals, Inc.",Lexington,MA,Assignee,external,business,outside,0.001359487,7,0.000454611,8.83E-08,15403.80326,0.001162242
Emhart Glass Machinery Investments Inc.,Wilmington,DE,Assignee,external,business,outside,0.001359487,7,0.000196001,3.81E-08,213.1666667,1.61E-05
"F. Korbel & Bros., Inc.",Guerneville,CA,Assignee,external,business,within,0.001359487,7,0.000194326,3.77E-08,6,4.53E-07
Henkel IP & Holding GmbH ,Duesseldorf,DE,Assignee,external,business,outside,0.001359487,7,0.000195771,3.80E-08,206.5,1.56E-05
"Heublein, Inc.",Hartford,CT,Assignee,external,business,outside,0.001359487,7,0.000194439,3.78E-08,21,1.58E-06
"Kadmon Corporation, LLC ",New York,NY,Assignee,external,business,outside,0.001359487,7,0.000454776,8.83E-08,11814.66667,0.000891436
"Kamata, LLC ",Phoenix,AZ,Assignee,external,business,outside,0.001359487,7,0.00019459,3.78E-08,17.5,1.32E-06
"Lifescan, Inc.",Milpitas,CA,Assignee,external,business,within,0.001359487,7,0.000194363,3.77E-08,4.4,3.32E-07
Massachusetts Institute of Technology ,Cambridge,MA,Assignee,external,public institute,outside,0.001359487,7,0.000194628,3.78E-08,45.5,3.43E-06
Miles Inc.,West Haven,CT,Assignee,external,business,outside,0.001359487,7,0.000454382,8.82E-08,5914,0.000446221
National Starch and Chemical Investment Holding Corporation ,New Castle,DE,Assignee,external,business,outside,0.001359487,7,0.000194439,3.78E-08,21,1.58E-06
"Pfizer Hospital Products Corp, Inc.",New York,NY,Assignee,external,business,outside,0.001359487,7,0.000194401,3.78E-08,15,1.13E-06
"The Liposome Company, Inc.",Princeton,NJ,Assignee,external,business,outside,0.001359487,7,0.000194439,3.78E-08,21,1.58E-06
THE TRUSTESS OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK ,New York,NY,Assignee,external,university,outside,0.001359487,7,0.000454765,8.83E-08,8851.5,0.00066786
The University of Southern California ,Los Angeles,CA,Assignee,external,university,within,0.001359487,7,0.000454369,8.82E-08,9.5,7.17E-07
University of Connecticut ,Farmington,CT,Assignee,external,university,outside,0.001359487,7,0.000195084,3.79E-08,123,9.28E-06
University of Waterloo ,Waterloo,CA,Assignee,external,university,within,0.001359487,7,0.000454661,8.83E-08,15652.51418,0.001181008
"View, Inc.",Milpitas,CA,Assignee,external,business,within,0.001359487,7,0.000194552,3.78E-08,10.5,7.92E-07
"World Properties, Inc.",Lincolnwood,IL,Assignee,external,business,outside,0.001359487,7,0.000195084,3.79E-08,138.2,1.04E-05
Xerox Corporation ,Stamford,CT,Assignee,external,business,outside,0.001359487,7,0.000194439,3.78E-08,21,1.58E-06
 Bennett; David Jonathan ,Winchester,MA,Innovator,external,individual,outside,0.001165275,6,0.000454844,8.83E-08,2004.846183,0.000151269
 Berlowitz; Paul J. (E.,Windsor,CA,Innovator,internal,individual,within,0.001165275,6,0.000454594,8.83E-08,22807.96155,0.001720898
 Feller; Rolf ,Mettmann,DE,Innovator,external,individual,outside,0.001165275,6,0.000454342,8.82E-08,121.7774492,9.19E-06
 Greenlee; William J.,Teaneck,NJ,Innovator,external,individual,outside,0.001165275,6,0.000454853,8.83E-08,1955.933421,0.000147578
